"forecast_date","target","target_end_date","location","location_name","type","quantile","value"
2021-03-01,"1 day ahead cum case",2021-03-02,"GM","Germany","point",NA,2454553.933709
2021-03-01,"2 day ahead cum case",2021-03-03,"GM","Germany","point",NA,2462573.859100
2021-03-01,"3 day ahead cum case",2021-03-04,"GM","Germany","point",NA,2472771.052470
2021-03-01,"4 day ahead cum case",2021-03-05,"GM","Germany","point",NA,2484719.938731
2021-03-01,"5 day ahead cum case",2021-03-06,"GM","Germany","point",NA,2495152.846482
2021-03-01,"6 day ahead cum case",2021-03-07,"GM","Germany","point",NA,2502612.694438
2021-03-01,"7 day ahead cum case",2021-03-08,"GM","Germany","point",NA,2509200.629313
2021-03-01,"8 day ahead cum case",2021-03-09,"GM","Germany","point",NA,2516614.785556
2021-03-01,"9 day ahead cum case",2021-03-10,"GM","Germany","point",NA,2525753.798431
2021-03-01,"10 day ahead cum case",2021-03-11,"GM","Germany","point",NA,2537085.365659
2021-03-01,"11 day ahead cum case",2021-03-12,"GM","Germany","point",NA,2549753.288391
2021-03-01,"12 day ahead cum case",2021-03-13,"GM","Germany","point",NA,2560670.656032
2021-03-01,"13 day ahead cum case",2021-03-14,"GM","Germany","point",NA,2568608.201251
2021-03-01,"14 day ahead cum case",2021-03-15,"GM","Germany","point",NA,2575813.817609
2021-03-01,"15 day ahead cum case",2021-03-16,"GM","Germany","point",NA,2584152.543531
2021-03-01,"16 day ahead cum case",2021-03-17,"GM","Germany","point",NA,2594471.536866
2021-03-01,"17 day ahead cum case",2021-03-18,"GM","Germany","point",NA,2606837.672859
2021-03-01,"18 day ahead cum case",2021-03-19,"GM","Germany","point",NA,2620198.222198
2021-03-01,"19 day ahead cum case",2021-03-20,"GM","Germany","point",NA,2631658.327117
2021-03-01,"20 day ahead cum case",2021-03-21,"GM","Germany","point",NA,2640148.928988
2021-03-01,"21 day ahead cum case",2021-03-22,"GM","Germany","point",NA,2648085.966369
2021-03-01,"22 day ahead cum case",2021-03-23,"GM","Germany","point",NA,2657462.221020
2021-03-01,"23 day ahead cum case",2021-03-24,"GM","Germany","point",NA,2668947.056917
2021-03-01,"24 day ahead cum case",2021-03-25,"GM","Germany","point",NA,2682247.944270
2021-03-01,"25 day ahead cum case",2021-03-26,"GM","Germany","point",NA,2696281.406864
2021-03-01,"26 day ahead cum case",2021-03-27,"GM","Germany","point",NA,2708334.883832
2021-03-01,"27 day ahead cum case",2021-03-28,"GM","Germany","point",NA,2717460.460894
2021-03-01,"28 day ahead cum case",2021-03-29,"GM","Germany","point",NA,2726236.368223
2021-03-01,"29 day ahead cum case",2021-03-30,"GM","Germany","point",NA,2736709.565318
2021-03-01,"30 day ahead cum case",2021-03-31,"GM","Germany","point",NA,2749294.279138
2021-03-01,"1 day ahead cum case",2021-03-02,"GM","Germany","quantile","0.01",2445039.316507
2021-03-01,"2 day ahead cum case",2021-03-03,"GM","Germany","quantile","0.01",2448935.028675
2021-03-01,"3 day ahead cum case",2021-03-04,"GM","Germany","quantile","0.01",2454194.399198
2021-03-01,"4 day ahead cum case",2021-03-05,"GM","Germany","quantile","0.01",2464753.807171
2021-03-01,"5 day ahead cum case",2021-03-06,"GM","Germany","quantile","0.01",2471768.790394
2021-03-01,"6 day ahead cum case",2021-03-07,"GM","Germany","quantile","0.01",2475211.741476
2021-03-01,"7 day ahead cum case",2021-03-08,"GM","Germany","quantile","0.01",2478153.620376
2021-03-01,"8 day ahead cum case",2021-03-09,"GM","Germany","quantile","0.01",2480536.890358
2021-03-01,"9 day ahead cum case",2021-03-10,"GM","Germany","quantile","0.01",2482812.687026
2021-03-01,"10 day ahead cum case",2021-03-11,"GM","Germany","quantile","0.01",2486571.217831
2021-03-01,"11 day ahead cum case",2021-03-12,"GM","Germany","quantile","0.01",2494063.480780
2021-03-01,"12 day ahead cum case",2021-03-13,"GM","Germany","quantile","0.01",2497388.026932
2021-03-01,"13 day ahead cum case",2021-03-14,"GM","Germany","quantile","0.01",2498787.905076
2021-03-01,"14 day ahead cum case",2021-03-15,"GM","Germany","quantile","0.01",2500152.236034
2021-03-01,"15 day ahead cum case",2021-03-16,"GM","Germany","quantile","0.01",2500853.753140
2021-03-01,"16 day ahead cum case",2021-03-17,"GM","Germany","quantile","0.01",2501237.236286
2021-03-01,"17 day ahead cum case",2021-03-18,"GM","Germany","quantile","0.01",2502953.899549
2021-03-01,"18 day ahead cum case",2021-03-19,"GM","Germany","quantile","0.01",2506552.360270
2021-03-01,"19 day ahead cum case",2021-03-20,"GM","Germany","quantile","0.01",2506062.531388
2021-03-01,"20 day ahead cum case",2021-03-21,"GM","Germany","quantile","0.01",2505291.917050
2021-03-01,"21 day ahead cum case",2021-03-22,"GM","Germany","quantile","0.01",2504829.741592
2021-03-01,"22 day ahead cum case",2021-03-23,"GM","Germany","quantile","0.01",2503449.809414
2021-03-01,"23 day ahead cum case",2021-03-24,"GM","Germany","quantile","0.01",2501473.027795
2021-03-01,"24 day ahead cum case",2021-03-25,"GM","Germany","quantile","0.01",2500398.073689
2021-03-01,"25 day ahead cum case",2021-03-26,"GM","Germany","quantile","0.01",2499527.276819
2021-03-01,"26 day ahead cum case",2021-03-27,"GM","Germany","quantile","0.01",2495148.372851
2021-03-01,"27 day ahead cum case",2021-03-28,"GM","Germany","quantile","0.01",2492000.121939
2021-03-01,"28 day ahead cum case",2021-03-29,"GM","Germany","quantile","0.01",2489377.069050
2021-03-01,"29 day ahead cum case",2021-03-30,"GM","Germany","quantile","0.01",2485474.026584
2021-03-01,"30 day ahead cum case",2021-03-31,"GM","Germany","quantile","0.01",2480632.316603
2021-03-01,"1 day ahead cum case",2021-03-02,"GM","Germany","quantile","0.025",2446537.803684
2021-03-01,"2 day ahead cum case",2021-03-03,"GM","Germany","quantile","0.025",2451083.051245
2021-03-01,"3 day ahead cum case",2021-03-04,"GM","Germany","quantile","0.025",2457120.095116
2021-03-01,"4 day ahead cum case",2021-03-05,"GM","Germany","quantile","0.025",2467898.336423
2021-03-01,"5 day ahead cum case",2021-03-06,"GM","Germany","quantile","0.025",2475451.619397
2021-03-01,"6 day ahead cum case",2021-03-07,"GM","Germany","quantile","0.025",2479527.204281
2021-03-01,"7 day ahead cum case",2021-03-08,"GM","Germany","quantile","0.025",2483043.312076
2021-03-01,"8 day ahead cum case",2021-03-09,"GM","Germany","quantile","0.025",2486218.912258
2021-03-01,"9 day ahead cum case",2021-03-10,"GM","Germany","quantile","0.025",2489575.618569
2021-03-01,"10 day ahead cum case",2021-03-11,"GM","Germany","quantile","0.025",2494526.850848
2021-03-01,"11 day ahead cum case",2021-03-12,"GM","Germany","quantile","0.025",2502834.244837
2021-03-01,"12 day ahead cum case",2021-03-13,"GM","Germany","quantile","0.025",2507354.608477
2021-03-01,"13 day ahead cum case",2021-03-14,"GM","Germany","quantile","0.025",2509784.124500
2021-03-01,"14 day ahead cum case",2021-03-15,"GM","Germany","quantile","0.025",2512068.417983
2021-03-01,"15 day ahead cum case",2021-03-16,"GM","Germany","quantile","0.025",2513972.743277
2021-03-01,"16 day ahead cum case",2021-03-17,"GM","Germany","quantile","0.025",2515921.001368
2021-03-01,"17 day ahead cum case",2021-03-18,"GM","Germany","quantile","0.025",2519314.883796
2021-03-01,"18 day ahead cum case",2021-03-19,"GM","Germany","quantile","0.025",2524450.806750
2021-03-01,"19 day ahead cum case",2021-03-20,"GM","Germany","quantile","0.025",2525843.010764
2021-03-01,"20 day ahead cum case",2021-03-21,"GM","Germany","quantile","0.025",2526530.974678
2021-03-01,"21 day ahead cum case",2021-03-22,"GM","Germany","quantile","0.025",2527391.617834
2021-03-01,"22 day ahead cum case",2021-03-23,"GM","Germany","quantile","0.025",2527705.711562
2021-03-01,"23 day ahead cum case",2021-03-24,"GM","Germany","quantile","0.025",2527849.042691
2021-03-01,"24 day ahead cum case",2021-03-25,"GM","Germany","quantile","0.025",2529038.185356
2021-03-01,"25 day ahead cum case",2021-03-26,"GM","Germany","quantile","0.025",2530514.707480
2021-03-01,"26 day ahead cum case",2021-03-27,"GM","Germany","quantile","0.025",2528723.791194
2021-03-01,"27 day ahead cum case",2021-03-28,"GM","Germany","quantile","0.025",2527508.584295
2021-03-01,"28 day ahead cum case",2021-03-29,"GM","Germany","quantile","0.025",2526680.789729
2021-03-01,"29 day ahead cum case",2021-03-30,"GM","Germany","quantile","0.025",2525041.906732
2021-03-01,"30 day ahead cum case",2021-03-31,"GM","Germany","quantile","0.025",2522944.739390
2021-03-01,"1 day ahead cum case",2021-03-02,"GM","Germany","quantile","0.05",2447826.585324
2021-03-01,"2 day ahead cum case",2021-03-03,"GM","Germany","quantile","0.05",2452930.469157
2021-03-01,"3 day ahead cum case",2021-03-04,"GM","Germany","quantile","0.05",2459636.355010
2021-03-01,"4 day ahead cum case",2021-03-05,"GM","Germany","quantile","0.05",2470602.805056
2021-03-01,"5 day ahead cum case",2021-03-06,"GM","Germany","quantile","0.05",2478619.055514
2021-03-01,"6 day ahead cum case",2021-03-07,"GM","Germany","quantile","0.05",2483238.740368
2021-03-01,"7 day ahead cum case",2021-03-08,"GM","Germany","quantile","0.05",2487248.716692
2021-03-01,"8 day ahead cum case",2021-03-09,"GM","Germany","quantile","0.05",2491105.764557
2021-03-01,"9 day ahead cum case",2021-03-10,"GM","Germany","quantile","0.05",2495392.112792
2021-03-01,"10 day ahead cum case",2021-03-11,"GM","Germany","quantile","0.05",2501369.134138
2021-03-01,"11 day ahead cum case",2021-03-12,"GM","Germany","quantile","0.05",2510377.585791
2021-03-01,"12 day ahead cum case",2021-03-13,"GM","Germany","quantile","0.05",2515926.418440
2021-03-01,"13 day ahead cum case",2021-03-14,"GM","Germany","quantile","0.05",2519241.479842
2021-03-01,"14 day ahead cum case",2021-03-15,"GM","Germany","quantile","0.05",2522316.991849
2021-03-01,"15 day ahead cum case",2021-03-16,"GM","Germany","quantile","0.05",2525255.798541
2021-03-01,"16 day ahead cum case",2021-03-17,"GM","Germany","quantile","0.05",2528549.849410
2021-03-01,"17 day ahead cum case",2021-03-18,"GM","Germany","quantile","0.05",2533386.232850
2021-03-01,"18 day ahead cum case",2021-03-19,"GM","Germany","quantile","0.05",2539844.458143
2021-03-01,"19 day ahead cum case",2021-03-20,"GM","Germany","quantile","0.05",2542855.314275
2021-03-01,"20 day ahead cum case",2021-03-21,"GM","Germany","quantile","0.05",2544797.735952
2021-03-01,"21 day ahead cum case",2021-03-22,"GM","Germany","quantile","0.05",2546796.076092
2021-03-01,"22 day ahead cum case",2021-03-23,"GM","Germany","quantile","0.05",2548567.125556
2021-03-01,"23 day ahead cum case",2021-03-24,"GM","Germany","quantile","0.05",2550533.870611
2021-03-01,"24 day ahead cum case",2021-03-25,"GM","Germany","quantile","0.05",2553670.261403
2021-03-01,"25 day ahead cum case",2021-03-26,"GM","Germany","quantile","0.05",2557165.607360
2021-03-01,"26 day ahead cum case",2021-03-27,"GM","Germany","quantile","0.05",2557600.503253
2021-03-01,"27 day ahead cum case",2021-03-28,"GM","Germany","quantile","0.05",2558047.820849
2021-03-01,"28 day ahead cum case",2021-03-29,"GM","Germany","quantile","0.05",2558764.047480
2021-03-01,"29 day ahead cum case",2021-03-30,"GM","Germany","quantile","0.05",2559072.466535
2021-03-01,"30 day ahead cum case",2021-03-31,"GM","Germany","quantile","0.05",2559335.757272
2021-03-01,"1 day ahead cum case",2021-03-02,"GM","Germany","quantile","0.1",2449312.468017
2021-03-01,"2 day ahead cum case",2021-03-03,"GM","Germany","quantile","0.1",2455060.423694
2021-03-01,"3 day ahead cum case",2021-03-04,"GM","Germany","quantile","0.1",2462537.441517
2021-03-01,"4 day ahead cum case",2021-03-05,"GM","Germany","quantile","0.1",2473720.884185
2021-03-01,"5 day ahead cum case",2021-03-06,"GM","Germany","quantile","0.1",2482270.906501
2021-03-01,"6 day ahead cum case",2021-03-07,"GM","Germany","quantile","0.1",2487517.903776
2021-03-01,"7 day ahead cum case",2021-03-08,"GM","Germany","quantile","0.1",2492097.278884
2021-03-01,"8 day ahead cum case",2021-03-09,"GM","Germany","quantile","0.1",2496739.992285
2021-03-01,"9 day ahead cum case",2021-03-10,"GM","Germany","quantile","0.1",2502098.158120
2021-03-01,"10 day ahead cum case",2021-03-11,"GM","Germany","quantile","0.1",2509257.848565
2021-03-01,"11 day ahead cum case",2021-03-12,"GM","Germany","quantile","0.1",2519074.574805
2021-03-01,"12 day ahead cum case",2021-03-13,"GM","Germany","quantile","0.1",2525809.166356
2021-03-01,"13 day ahead cum case",2021-03-14,"GM","Germany","quantile","0.1",2530145.204866
2021-03-01,"14 day ahead cum case",2021-03-15,"GM","Germany","quantile","0.1",2534132.941159
2021-03-01,"15 day ahead cum case",2021-03-16,"GM","Germany","quantile","0.1",2538264.438650
2021-03-01,"16 day ahead cum case",2021-03-17,"GM","Germany","quantile","0.1",2543110.102403
2021-03-01,"17 day ahead cum case",2021-03-18,"GM","Germany","quantile","0.1",2549609.597124
2021-03-01,"18 day ahead cum case",2021-03-19,"GM","Germany","quantile","0.1",2557592.352329
2021-03-01,"19 day ahead cum case",2021-03-20,"GM","Germany","quantile","0.1",2562469.410688
2021-03-01,"20 day ahead cum case",2021-03-21,"GM","Germany","quantile","0.1",2565858.141826
2021-03-01,"21 day ahead cum case",2021-03-22,"GM","Germany","quantile","0.1",2569168.173727
2021-03-01,"22 day ahead cum case",2021-03-23,"GM","Germany","quantile","0.1",2572618.999845
2021-03-01,"23 day ahead cum case",2021-03-24,"GM","Germany","quantile","0.1",2576688.024377
2021-03-01,"24 day ahead cum case",2021-03-25,"GM","Germany","quantile","0.1",2582069.467552
