forecast_date,target,target_end_date,location,location_name,type,quantile,value
2021-03-01,-1 day ahead inc death,2021-02-28,GM,Germany,observed,NA,157.0
2021-03-01,0 day ahead inc death,2021-03-01,GM,Germany,observed,NA,60.0
2021-03-01,1 day ahead inc death,2021-03-02,GM,Germany,point,NA,352.0536469945489
2021-03-01,1 day ahead inc death,2021-03-02,GM,Germany,quantile,0.010,311.26563797438007
2021-03-01,1 day ahead inc death,2021-03-02,GM,Germany,quantile,0.025,317.96568556558935
2021-03-01,1 day ahead inc death,2021-03-02,GM,Germany,quantile,0.050,324.3914622027725
2021-03-01,1 day ahead inc death,2021-03-02,GM,Germany,quantile,0.100,330.9151927521079
2021-03-01,1 day ahead inc death,2021-03-02,GM,Germany,quantile,0.150,334.34357967743426
2021-03-01,1 day ahead inc death,2021-03-02,GM,Germany,quantile,0.200,337.4389233014432
2021-03-01,1 day ahead inc death,2021-03-02,GM,Germany,quantile,0.250,340.299177536287
2021-03-01,1 day ahead inc death,2021-03-02,GM,Germany,quantile,0.300,342.59129908064807
2021-03-01,1 day ahead inc death,2021-03-02,GM,Germany,quantile,0.350,345.1576915790352
2021-03-01,1 day ahead inc death,2021-03-02,GM,Germany,quantile,0.400,347.7828564247137
2021-03-01,1 day ahead inc death,2021-03-02,GM,Germany,quantile,0.450,350.03579640421395
2021-03-01,1 day ahead inc death,2021-03-02,GM,Germany,quantile,0.500,352.0536469945489
2021-03-01,1 day ahead inc death,2021-03-02,GM,Germany,quantile,0.550,354.71799340508824
2021-03-01,1 day ahead inc death,2021-03-02,GM,Germany,quantile,0.600,356.81420712514495
2021-03-01,1 day ahead inc death,2021-03-02,GM,Germany,quantile,0.650,358.969193192493
2021-03-01,1 day ahead inc death,2021-03-02,GM,Germany,quantile,0.700,360.9478622179671
2021-03-01,1 day ahead inc death,2021-03-02,GM,Germany,quantile,0.750,362.43676168268024
2021-03-01,1 day ahead inc death,2021-03-02,GM,Germany,quantile,0.800,364.9443818337761
2021-03-01,1 day ahead inc death,2021-03-02,GM,Germany,quantile,0.850,368.02013467535465
2021-03-01,1 day ahead inc death,2021-03-02,GM,Germany,quantile,0.900,372.4868330694942
2021-03-01,1 day ahead inc death,2021-03-02,GM,Germany,quantile,0.950,379.48074239715993
2021-03-01,1 day ahead inc death,2021-03-02,GM,Germany,quantile,0.975,386.2591531180911
2021-03-01,1 day ahead inc death,2021-03-02,GM,Germany,quantile,0.990,393.50774261735256
2021-03-01,2 day ahead inc death,2021-03-03,GM,Germany,point,NA,352.9551341910051
2021-03-01,2 day ahead inc death,2021-03-03,GM,Germany,quantile,0.010,304.0763510687181
2021-03-01,2 day ahead inc death,2021-03-03,GM,Germany,quantile,0.025,311.9389524587948
2021-03-01,2 day ahead inc death,2021-03-03,GM,Germany,quantile,0.050,319.38159294376356
2021-03-01,2 day ahead inc death,2021-03-03,GM,Germany,quantile,0.100,326.9408892357067
2021-03-01,2 day ahead inc death,2021-03-03,GM,Germany,quantile,0.150,331.3271475779454
2021-03-01,2 day ahead inc death,2021-03-03,GM,Germany,quantile,0.200,334.80349062578347
2021-03-01,2 day ahead inc death,2021-03-03,GM,Germany,quantile,0.250,337.9531974140931
2021-03-01,2 day ahead inc death,2021-03-03,GM,Germany,quantile,0.300,341.1029042024028
2021-03-01,2 day ahead inc death,2021-03-03,GM,Germany,quantile,0.350,343.92597473118406
2021-03-01,2 day ahead inc death,2021-03-03,GM,Germany,quantile,0.400,346.84236990554484
2021-03-01,2 day ahead inc death,2021-03-03,GM,Germany,quantile,0.450,350.24871946919825
2021-03-01,2 day ahead inc death,2021-03-03,GM,Germany,quantile,0.500,352.9551341910051
2021-03-01,2 day ahead inc death,2021-03-03,GM,Germany,quantile,0.550,355.4748996216528
2021-03-01,2 day ahead inc death,2021-03-03,GM,Germany,quantile,0.600,358.3213013118289
2021-03-01,2 day ahead inc death,2021-03-03,GM,Germany,quantile,0.650,360.58442396713286
2021-03-01,2 day ahead inc death,2021-03-03,GM,Germany,quantile,0.700,362.824215461042
2021-03-01,2 day ahead inc death,2021-03-03,GM,Germany,quantile,0.750,365.08733811634596
2021-03-01,2 day ahead inc death,2021-03-03,GM,Germany,quantile,0.800,367.7704216767579
2021-03-01,2 day ahead inc death,2021-03-03,GM,Germany,quantile,0.850,371.4800763385448
2021-03-01,2 day ahead inc death,2021-03-03,GM,Germany,quantile,0.900,376.9628992663432
2021-03-01,2 day ahead inc death,2021-03-03,GM,Germany,quantile,0.950,385.0821434317636
2021-03-01,2 day ahead inc death,2021-03-03,GM,Germany,quantile,0.975,393.3413745655534
2021-03-01,2 day ahead inc death,2021-03-03,GM,Germany,quantile,0.990,402.79049493048234
2021-03-01,3 day ahead inc death,2021-03-04,GM,Germany,point,NA,353.8808469926323
2021-03-01,3 day ahead inc death,2021-03-04,GM,Germany,quantile,0.010,296.45684203460917
2021-03-01,3 day ahead inc death,2021-03-04,GM,Germany,quantile,0.025,305.6457735022511
2021-03-01,3 day ahead inc death,2021-03-04,GM,Germany,quantile,0.050,314.01669920126017
2021-03-01,3 day ahead inc death,2021-03-04,GM,Germany,quantile,0.100,322.2785574644515
2021-03-01,3 day ahead inc death,2021-03-04,GM,Germany,quantile,0.150,327.95006412697234
2021-03-01,3 day ahead inc death,2021-03-04,GM,Germany,quantile,0.200,331.9310255343187
2021-03-01,3 day ahead inc death,2021-03-04,GM,Germany,quantile,0.250,335.47571719839414
2021-03-01,3 day ahead inc death,2021-03-04,GM,Germany,quantile,0.300,339.12947629828733
2021-03-01,3 day ahead inc death,2021-03-04,GM,Germany,quantile,0.350,342.8377691160894
2021-03-01,3 day ahead inc death,2021-03-04,GM,Germany,quantile,0.400,346.0279916137574
2021-03-01,3 day ahead inc death,2021-03-04,GM,Germany,quantile,0.450,350.2270878927391
2021-03-01,3 day ahead inc death,2021-03-04,GM,Germany,quantile,0.500,353.8808469926323
2021-03-01,3 day ahead inc death,2021-03-04,GM,Germany,quantile,0.550,356.3621311574852
2021-03-01,3 day ahead inc death,2021-03-04,GM,Germany,quantile,0.600,359.85228910365186
2021-03-01,3 day ahead inc death,2021-03-04,GM,Germany,quantile,0.650,362.22450583268693
2021-03-01,3 day ahead inc death,2021-03-04,GM,Germany,quantile,0.700,365.0057254460386
2021-03-01,3 day ahead inc death,2021-03-04,GM,Germany,quantile,0.750,367.59607704670907
2021-03-01,3 day ahead inc death,2021-03-04,GM,Germany,quantile,0.800,370.6499652496049
2021-03-01,3 day ahead inc death,2021-03-04,GM,Germany,quantile,0.850,375.5307330024474
2021-03-01,3 day ahead inc death,2021-03-04,GM,Germany,quantile,0.900,381.61124254928455
2021-03-01,3 day ahead inc death,2021-03-04,GM,Germany,quantile,0.950,391.56364606765044
2021-03-01,3 day ahead inc death,2021-03-04,GM,Germany,quantile,0.975,400.9979792658821
2021-03-01,3 day ahead inc death,2021-03-04,GM,Germany,quantile,0.990,412.47732688569585
2021-03-01,4 day ahead inc death,2021-03-05,GM,Germany,point,NA,354.0780937724337
2021-03-01,4 day ahead inc death,2021-03-05,GM,Germany,quantile,0.010,288.8808577821303
2021-03-01,4 day ahead inc death,2021-03-05,GM,Germany,quantile,0.025,299.34888072560716
2021-03-01,4 day ahead inc death,2021-03-05,GM,Germany,quantile,0.050,308.4651769826892
2021-03-01,4 day ahead inc death,2021-03-05,GM,Germany,quantile,0.100,317.7072152571102
2021-03-01,4 day ahead inc death,2021-03-05,GM,Germany,quantile,0.150,324.62302621075855
2021-03-01,4 day ahead inc death,2021-03-05,GM,Germany,quantile,0.200,328.80394828728237
2021-03-01,4 day ahead inc death,2021-03-05,GM,Germany,quantile,0.250,332.9534348594714
2021-03-01,4 day ahead inc death,2021-03-05,GM,Germany,quantile,0.300,337.3229699620037
2021-03-01,4 day ahead inc death,2021-03-05,GM,Germany,quantile,0.350,341.44102102985806
2021-03-01,4 day ahead inc death,2021-03-05,GM,Germany,quantile,0.400,345.5590720977123
2021-03-01,4 day ahead inc death,2021-03-05,GM,Germany,quantile,0.450,350.21152673925764
2021-03-01,4 day ahead inc death,2021-03-05,GM,Germany,quantile,0.500,354.0780937724337
2021-03-01,4 day ahead inc death,2021-03-05,GM,Germany,quantile,0.550,357.3159507189146
2021-03-01,4 day ahead inc death,2021-03-05,GM,Germany,quantile,0.600,361.37113077809926
2021-03-01,4 day ahead inc death,2021-03-05,GM,Germany,quantile,0.650,364.04314864655436
2021-03-01,4 day ahead inc death,2021-03-05,GM,Germany,quantile,0.700,367.43818311470903
2021-03-01,4 day ahead inc death,2021-03-05,GM,Germany,quantile,0.750,370.3616850178422
2021-03-01,4 day ahead inc death,2021-03-05,GM,Germany,quantile,0.800,373.599541964323
2021-03-01,4 day ahead inc death,2021-03-05,GM,Germany,quantile,0.850,378.9121421968984
2021-03-01,4 day ahead inc death,2021-03-05,GM,Germany,quantile,0.900,386.865324793594
2021-03-01,4 day ahead inc death,2021-03-05,GM,Germany,quantile,0.950,398.11923534543996
2021-03-01,4 day ahead inc death,2021-03-05,GM,Germany,quantile,0.975,408.93304883659926
2021-03-01,4 day ahead inc death,2021-03-05,GM,Germany,quantile,0.990,422.23026717020514
2021-03-01,5 day ahead inc death,2021-03-06,GM,Germany,point,NA,354.81032965286795
2021-03-01,5 day ahead inc death,2021-03-06,GM,Germany,quantile,0.010,281.2958068072083
2021-03-01,5 day ahead inc death,2021-03-06,GM,Germany,quantile,0.025,292.54216343022466
2021-03-01,5 day ahead inc death,2021-03-06,GM,Germany,quantile,0.050,302.49500938733496
2021-03-01,5 day ahead inc death,2021-03-06,GM,Germany,quantile,0.100,313.09461067739835
2021-03-01,5 day ahead inc death,2021-03-06,GM,Germany,quantile,0.150,320.7119512655117
2021-03-01,5 day ahead inc death,2021-03-06,GM,Germany,quantile,0.200,325.8859939291358
2021-03-01,5 day ahead inc death,2021-03-06,GM,Germany,quantile,0.250,330.5570046671298
2021-03-01,5 day ahead inc death,2021-03-06,GM,Germany,quantile,0.300,335.3717388124467
2021-03-01,5 day ahead inc death,2021-03-06,GM,Germany,quantile,0.350,340.2942655132558
2021-03-01,5 day ahead inc death,2021-03-06,GM,Germany,quantile,0.400,345.00120710308056
2021-03-01,5 day ahead inc death,2021-03-06,GM,Germany,quantile,0.450,350.39083487768903
2021-03-01,5 day ahead inc death,2021-03-06,GM,Germany,quantile,0.500,354.81032965286795
2021-03-01,5 day ahead inc death,2021-03-06,GM,Germany,quantile,0.550,358.4034148359403
2021-03-01,5 day ahead inc death,2021-03-06,GM,Germany,quantile,0.600,362.463601092812
2021-03-01,5 day ahead inc death,2021-03-06,GM,Germany,quantile,0.650,365.80517031306925
2021-03-01,5 day ahead inc death,2021-03-06,GM,Germany,quantile,0.700,369.9372182736024
2021-03-01,5 day ahead inc death,2021-03-06,GM,Germany,quantile,0.750,373.0991332347061
2021-03-01,5 day ahead inc death,2021-03-06,GM,Germany,quantile,0.800,376.65628756594765
2021-03-01,5 day ahead inc death,2021-03-06,GM,Germany,quantile,0.850,383.05197919181643
2021-03-01,5 day ahead inc death,2021-03-06,GM,Germany,quantile,0.900,392.1784155568201
2021-03-01,5 day ahead inc death,2021-03-06,GM,Germany,quantile,0.950,404.790144549404
2021-03-01,5 day ahead inc death,2021-03-06,GM,Germany,quantile,0.975,417.04256502368054
2021-03-01,5 day ahead inc death,2021-03-06,GM,Germany,quantile,0.990,432.7443472737066
2021-03-01,6 day ahead inc death,2021-03-07,GM,Germany,point,NA,355.1042396064814
2021-03-01,6 day ahead inc death,2021-03-07,GM,Germany,quantile,0.010,273.36770551168445
2021-03-01,6 day ahead inc death,2021-03-07,GM,Germany,quantile,0.025,285.6424112782825
2021-03-01,6 day ahead inc death,2021-03-07,GM,Germany,quantile,0.050,296.1693940383782
2021-03-01,6 day ahead inc death,2021-03-07,GM,Germany,quantile,0.100,308.5660339682206
2021-03-01,6 day ahead inc death,2021-03-07,GM,Germany,quantile,0.150,316.8169123477551
2021-03-01,6 day ahead inc death,2021-03-07,GM,Germany,quantile,0.200,322.5478180202396
2021-03-01,6 day ahead inc death,2021-03-07,GM,Germany,quantile,0.250,327.83163176082815
2021-03-01,6 day ahead inc death,2021-03-07,GM,Germany,quantile,0.300,333.684471596557
2021-03-01,6 day ahead inc death,2021-03-07,GM,Germany,quantile,0.350,338.4805486841682
2021-03-01,6 day ahead inc death,2021-03-07,GM,Germany,quantile,0.400,344.2927437988156
2021-03-01,6 day ahead inc death,2021-03-07,GM,Germany,quantile,0.450,350.2675177977888
2021-03-01,6 day ahead inc death,2021-03-07,GM,Germany,quantile,0.500,355.1042396064814
2021-03-01,6 day ahead inc death,2021-03-07,GM,Germany,quantile,0.550,359.5345142043595
2021-03-01,6 day ahead inc death,2021-03-07,GM,Germany,quantile,0.600,363.47705214926026
2021-03-01,6 day ahead inc death,2021-03-07,GM,Germany,quantile,0.650,367.5821689784868
2021-03-01,6 day ahead inc death,2021-03-07,GM,Germany,quantile,0.700,372.2563119028536
2021-03-01,6 day ahead inc death,2021-03-07,GM,Germany,quantile,0.750,375.95498152126555
2021-03-01,6 day ahead inc death,2021-03-07,GM,Germany,quantile,0.800,379.9381641872477
2021-03-01,6 day ahead inc death,2021-03-07,GM,Germany,quantile,0.850,387.66066119272324
2021-03-01,6 day ahead inc death,2021-03-07,GM,Germany,quantile,0.900,397.78119674200445
2021-03-01,6 day ahead inc death,2021-03-07,GM,Germany,quantile,0.950,412.088138562675
2021-03-01,6 day ahead inc death,2021-03-07,GM,Germany,quantile,0.975,425.9479884514497
2021-03-01,6 day ahead inc death,2021-03-07,GM,Germany,quantile,0.990,444.0755340537767
2021-03-01,7 day ahead inc death,2021-03-08,GM,Germany,point,NA,355.8435017262525
2021-03-01,7 day ahead inc death,2021-03-08,GM,Germany,quantile,0.010,264.96887836903426
2021-03-01,7 day ahead inc death,2021-03-08,GM,Germany,quantile,0.025,278.55675481682704
2021-03-01,7 day ahead inc death,2021-03-08,GM,Germany,quantile,0.050,289.5912048180548
2021-03-01,7 day ahead inc death,2021-03-08,GM,Germany,quantile,0.100,303.6350502741628
2021-03-01,7 day ahead inc death,2021-03-08,GM,Germany,quantile,0.150,313.1192056471188
2021-03-01,7 day ahead inc death,2021-03-08,GM,Germany,quantile,0.200,319.365981061037
2021-03-01,7 day ahead inc death,2021-03-08,GM,Germany,quantile,0.250,325.2935781691345
2021-03-01,7 day ahead inc death,2021-03-08,GM,Germany,quantile,0.300,331.3123690788951
2021-03-01,7 day ahead inc death,2021-03-08,GM,Germany,quantile,0.350,337.0575785836665
2021-03-01,7 day ahead inc death,2021-03-08,GM,Germany,quantile,0.400,343.6691292042368
2021-03-01,7 day ahead inc death,2021-03-08,GM,Germany,quantile,0.450,350.1438891223126
2021-03-01,7 day ahead inc death,2021-03-08,GM,Germany,quantile,0.500,355.8435017262525
2021-03-01,7 day ahead inc death,2021-03-08,GM,Germany,quantile,0.550,360.8591608177196
2021-03-01,7 day ahead inc death,2021-03-08,GM,Germany,quantile,0.600,364.96288189255637
2021-03-01,7 day ahead inc death,2021-03-08,GM,Germany,quantile,0.650,369.4313781740453
2021-03-01,7 day ahead inc death,2021-03-08,GM,Germany,quantile,0.700,374.58382796800703
2021-03-01,7 day ahead inc death,2021-03-08,GM,Germany,quantile,0.750,379.50829325781103
2021-03-01,7 day ahead inc death,2021-03-08,GM,Germany,quantile,0.800,383.42962672932174
2021-03-01,7 day ahead inc death,2021-03-08,GM,Germany,quantile,0.850,391.68266577982683
2021-03-01,7 day ahead inc death,2021-03-08,GM,Germany,quantile,0.900,403.1730847893696
2021-03-01,7 day ahead inc death,2021-03-08,GM,Germany,quantile,0.950,419.26879078289596
2021-03-01,7 day ahead inc death,2021-03-08,GM,Germany,quantile,0.975,434.81733396644404
2021-03-01,7 day ahead inc death,2021-03-08,GM,Germany,quantile,0.990,455.9286990514376
2021-03-01,8 day ahead inc death,2021-03-09,GM,Germany,point,NA,356.12100520151387
2021-03-01,8 day ahead inc death,2021-03-09,GM,Germany,quantile,0.010,256.60561850151373
2021-03-01,8 day ahead inc death,2021-03-09,GM,Germany,quantile,0.025,271.1341537726725
2021-03-01,8 day ahead inc death,2021-03-09,GM,Germany,quantile,0.050,283.325931622596
2021-03-01,8 day ahead inc death,2021-03-09,GM,Germany,quantile,0.100,298.6672520837496
2021-03-01,8 day ahead inc death,2021-03-09,GM,Germany,quantile,0.150,309.0302632561846
2021-03-01,8 day ahead inc death,2021-03-09,GM,Germany,quantile,0.200,315.83733922239185
2021-03-01,8 day ahead inc death,2021-03-09,GM,Germany,quantile,0.250,322.69521426297376
2021-03-01,8 day ahead inc death,2021-03-09,GM,Germany,quantile,0.300,329.4006920804316
2021-03-01,8 day ahead inc death,2021-03-09,GM,Germany,quantile,0.350,335.80137545164143
2021-03-01,8 day ahead inc death,2021-03-09,GM,Germany,quantile,0.400,342.71004956659806
2021-03-01,8 day ahead inc death,2021-03-09,GM,Germany,quantile,0.450,349.8219199790534
2021-03-01,8 day ahead inc death,2021-03-09,GM,Germany,quantile,0.500,356.12100520151387
2021-03-01,8 day ahead inc death,2021-03-09,GM,Germany,quantile,0.550,361.91209968022747
2021-03-01,8 day ahead inc death,2021-03-09,GM,Germany,quantile,0.600,366.53481544832346
2021-03-01,8 day ahead inc death,2021-03-09,GM,Germany,quantile,0.650,371.56392381141694
2021-03-01,8 day ahead inc death,2021-03-09,GM,Germany,quantile,0.700,377.15182199263177
2021-03-01,8 day ahead inc death,2021-03-09,GM,Germany,quantile,0.750,382.73972017384676
2021-03-01,8 day ahead inc death,2021-03-09,GM,Germany,quantile,0.800,386.95604334694525
2021-03-01,8 day ahead inc death,2021-03-09,GM,Germany,quantile,0.850,395.7442832137651
2021-03-01,8 day ahead inc death,2021-03-09,GM,Germany,quantile,0.900,409.0028416255568
2021-03-01,8 day ahead inc death,2021-03-09,GM,Germany,quantile,0.950,426.0713306154496
2021-03-01,8 day ahead inc death,2021-03-09,GM,Germany,quantile,0.975,444.0034038697121
2021-03-01,8 day ahead inc death,2021-03-09,GM,Germany,quantile,0.990,467.8281697514375
2021-03-01,9 day ahead inc death,2021-03-10,GM,Germany,point,NA,356.1800385382788
2021-03-01,9 day ahead inc death,2021-03-10,GM,Germany,quantile,0.010,248.98069905514092
2021-03-01,9 day ahead inc death,2021-03-10,GM,Germany,quantile,0.025,264.1663347636652
2021-03-01,9 day ahead inc death,2021-03-10,GM,Germany,quantile,0.050,277.1584897587359
2021-03-01,9 day ahead inc death,2021-03-10,GM,Germany,quantile,0.100,293.6939597524624
2021-03-01,9 day ahead inc death,2021-03-10,GM,Germany,quantile,0.150,305.05506498624715
2021-03-01,9 day ahead inc death,2021-03-10,GM,Germany,quantile,0.200,312.70412593572604
2021-03-01,9 day ahead inc death,2021-03-10,GM,Germany,quantile,0.250,319.7345128378206
2021-03-01,9 day ahead inc death,2021-03-10,GM,Germany,quantile,0.300,327.271087596866
2021-03-01,9 day ahead inc death,2021-03-10,GM,Germany,quantile,0.350,334.0202590228767
2021-03-01,9 day ahead inc death,2021-03-10,GM,Germany,quantile,0.400,342.4567233053902
2021-03-01,9 day ahead inc death,2021-03-10,GM,Germany,quantile,0.450,349.65583949313503
2021-03-01,9 day ahead inc death,2021-03-10,GM,Germany,quantile,0.500,356.1800385382788
2021-03-01,9 day ahead inc death,2021-03-10,GM,Germany,quantile,0.550,362.3105359169052
2021-03-01,9 day ahead inc death,2021-03-10,GM,Germany,quantile,0.600,367.7098730577139
2021-03-01,9 day ahead inc death,2021-03-10,GM,Germany,quantile,0.650,373.55915496025654
2021-03-01,9 day ahead inc death,2021-03-10,GM,Germany,quantile,0.700,379.52092305323276
2021-03-01,9 day ahead inc death,2021-03-10,GM,Germany,quantile,0.750,385.8763928127262
2021-03-01,9 day ahead inc death,2021-03-10,GM,Germany,quantile,0.800,390.6570559061505
2021-03-01,9 day ahead inc death,2021-03-10,GM,Germany,quantile,0.850,400.0496528073488
2021-03-01,9 day ahead inc death,2021-03-10,GM,Germany,quantile,0.900,414.89782994457266
2021-03-01,9 day ahead inc death,2021-03-10,GM,Germany,quantile,0.950,434.3016977943535
2021-03-01,9 day ahead inc death,2021-03-10,GM,Germany,quantile,0.975,453.5930794537011
2021-03-01,9 day ahead inc death,2021-03-10,GM,Germany,quantile,0.990,479.97109111035974
2021-03-01,10 day ahead inc death,2021-03-11,GM,Germany,point,NA,356.4068036048433
2021-03-01,10 day ahead inc death,2021-03-11,GM,Germany,quantile,0.010,241.00930124250354
2021-03-01,10 day ahead inc death,2021-03-11,GM,Germany,quantile,0.025,257.1761010903676
2021-03-01,10 day ahead inc death,2021-03-11,GM,Germany,quantile,0.050,270.3696963685095
2021-03-01,10 day ahead inc death,2021-03-11,GM,Germany,quantile,0.100,288.2708655487114
2021-03-01,10 day ahead inc death,2021-03-11,GM,Germany,quantile,0.150,301.0308684937688
2021-03-01,10 day ahead inc death,2021-03-11,GM,Germany,quantile,0.200,309.20718106050464
2021-03-01,10 day ahead inc death,2021-03-11,GM,Germany,quantile,0.250,317.19766834163283
2021-03-01,10 day ahead inc death,2021-03-11,GM,Germany,quantile,0.300,325.4359226702379
2021-03-01,10 day ahead inc death,2021-03-11,GM,Germany,quantile,0.350,332.806992332674
2021-03-01,10 day ahead inc death,2021-03-11,GM,Germany,quantile,0.400,341.60272251810187
2021-03-01,10 day ahead inc death,2021-03-11,GM,Germany,quantile,0.450,349.40738451362245
2021-03-01,10 day ahead inc death,2021-03-11,GM,Germany,quantile,0.500,356.4068036048433
2021-03-01,10 day ahead inc death,2021-03-11,GM,Germany,quantile,0.550,363.65398974354093
2021-03-01,10 day ahead inc death,2021-03-11,GM,Germany,quantile,0.600,369.0429230261623
2021-03-01,10 day ahead inc death,2021-03-11,GM,Germany,quantile,0.650,375.7945750699063
2021-03-01,10 day ahead inc death,2021-03-11,GM,Germany,quantile,0.700,382.05069301869656
2021-03-01,10 day ahead inc death,2021-03-11,GM,Germany,quantile,0.750,389.3598209192634
2021-03-01,10 day ahead inc death,2021-03-11,GM,Germany,quantile,0.800,394.3151618688003
2021-03-01,10 day ahead inc death,2021-03-11,GM,Germany,quantile,0.850,405.0310866721738
2021-03-01,10 day ahead inc death,2021-03-11,GM,Germany,quantile,0.900,421.13594475816853
2021-03-01,10 day ahead inc death,2021-03-11,GM,Germany,quantile,0.950,442.6297361267846
2021-03-01,10 day ahead inc death,2021-03-11,GM,Germany,quantile,0.975,463.2563428292319
2021-03-01,10 day ahead inc death,2021-03-11,GM,Germany,quantile,0.990,493.05033028832224
2021-03-01,11 day ahead inc death,2021-03-12,GM,Germany,point,NA,357.34666114545837
2021-03-01,11 day ahead inc death,2021-03-12,GM,Germany,quantile,0.010,233.27559054904708
2021-03-01,11 day ahead inc death,2021-03-12,GM,Germany,quantile,0.025,249.77765412590966
2021-03-01,11 day ahead inc death,2021-03-12,GM,Germany,quantile,0.050,264.17451617650585
2021-03-01,11 day ahead inc death,2021-03-12,GM,Germany,quantile,0.100,283.05342018624987
2021-03-01,11 day ahead inc death,2021-03-12,GM,Germany,quantile,0.150,297.24655305688475
2021-03-01,11 day ahead inc death,2021-03-12,GM,Germany,quantile,0.200,305.87108834191173
2021-03-01,11 day ahead inc death,2021-03-12,GM,Germany,quantile,0.250,314.5635333535924
2021-03-01,11 day ahead inc death,2021-03-12,GM,Germany,quantile,0.300,322.71270055204303
2021-03-01,11 day ahead inc death,2021-03-12,GM,Germany,quantile,0.350,331.40514556372375
2021-03-01,11 day ahead inc death,2021-03-12,GM,Germany,quantile,0.400,340.91250729524955
2021-03-01,11 day ahead inc death,2021-03-12,GM,Germany,quantile,0.450,349.12958422035393
2021-03-01,11 day ahead inc death,2021-03-12,GM,Germany,quantile,0.500,357.34666114545837
2021-03-01,11 day ahead inc death,2021-03-12,GM,Germany,quantile,0.550,365.1562797106402
2021-03-01,11 day ahead inc death,2021-03-12,GM,Germany,quantile,0.600,370.3853286629795
2021-03-01,11 day ahead inc death,2021-03-12,GM,Germany,quantile,0.650,378.1949472281613
2021-03-01,11 day ahead inc death,2021-03-12,GM,Germany,quantile,0.700,384.57846153361436
2021-03-01,11 day ahead inc death,2021-03-12,GM,Germany,quantile,0.750,392.5238995521038
2021-03-01,11 day ahead inc death,2021-03-12,GM,Germany,quantile,0.800,398.22831659101917
2021-03-01,11 day ahead inc death,2021-03-12,GM,Germany,quantile,0.850,409.70506039550384
2021-03-01,11 day ahead inc death,2021-03-12,GM,Germany,quantile,0.900,427.42949905213413
2021-03-01,11 day ahead inc death,2021-03-12,GM,Germany,quantile,0.950,450.3829866611034
2021-03-01,11 day ahead inc death,2021-03-12,GM,Germany,quantile,0.975,473.26856454341896
2021-03-01,11 day ahead inc death,2021-03-12,GM,Germany,quantile,0.990,506.54433060375925
2021-03-01,12 day ahead inc death,2021-03-13,GM,Germany,point,NA,357.8695463833131
2021-03-01,12 day ahead inc death,2021-03-13,GM,Germany,quantile,0.010,225.2654463886589
2021-03-01,12 day ahead inc death,2021-03-13,GM,Germany,quantile,0.025,242.54551087342085
2021-03-01,12 day ahead inc death,2021-03-13,GM,Germany,quantile,0.050,257.2298575171242
2021-03-01,12 day ahead inc death,2021-03-13,GM,Germany,quantile,0.100,277.8472735118188
2021-03-01,12 day ahead inc death,2021-03-13,GM,Germany,quantile,0.150,293.05076372373384
2021-03-01,12 day ahead inc death,2021-03-13,GM,Germany,quantile,0.200,302.69200141909465
2021-03-01,12 day ahead inc death,2021-03-13,GM,Germany,quantile,0.250,311.88825891313104
2021-03-01,12 day ahead inc death,2021-03-13,GM,Germany,quantile,0.300,321.0845164071675
2021-03-01,12 day ahead inc death,2021-03-13,GM,Germany,quantile,0.350,329.4649768654426
2021-03-01,12 day ahead inc death,2021-03-13,GM,Germany,quantile,0.400,340.2928284310016
2021-03-01,12 day ahead inc death,2021-03-13,GM,Germany,quantile,0.450,348.7474522561641
2021-03-01,12 day ahead inc death,2021-03-13,GM,Germany,quantile,0.500,357.8695463833131
2021-03-01,12 day ahead inc death,2021-03-13,GM,Germany,quantile,0.550,366.6208236760252
2021-03-01,12 day ahead inc death,2021-03-13,GM,Germany,quantile,0.600,372.03474945880475
2021-03-01,12 day ahead inc death,2021-03-13,GM,Germany,quantile,0.650,380.4893732839672
2021-03-01,12 day ahead inc death,2021-03-13,GM,Germany,quantile,0.700,387.0157495700576
2021-03-01,12 day ahead inc death,2021-03-13,GM,Germany,quantile,0.750,395.8411902296571
2021-03-01,12 day ahead inc death,2021-03-13,GM,Germany,quantile,0.800,402.44172988263483
2021-03-01,12 day ahead inc death,2021-03-13,GM,Germany,quantile,0.850,414.38203195150476
2021-03-01,12 day ahead inc death,2021-03-13,GM,Germany,quantile,0.900,433.88699744288846
2021-03-01,12 day ahead inc death,2021-03-13,GM,Germany,quantile,0.950,459.0283788177138
2021-03-01,12 day ahead inc death,2021-03-13,GM,Germany,quantile,0.975,483.27979978989055
2021-03-01,12 day ahead inc death,2021-03-13,GM,Germany,quantile,0.990,520.5098099673606
2021-03-01,13 day ahead inc death,2021-03-14,GM,Germany,point,NA,358.89268752057245
2021-03-01,13 day ahead inc death,2021-03-14,GM,Germany,quantile,0.010,217.63150335973083
2021-03-01,13 day ahead inc death,2021-03-14,GM,Germany,quantile,0.025,235.30933154900188
2021-03-01,13 day ahead inc death,2021-03-14,GM,Germany,quantile,0.050,250.8884221450261
2021-03-01,13 day ahead inc death,2021-03-14,GM,Germany,quantile,0.100,272.7637255207908
2021-03-01,13 day ahead inc death,2021-03-14,GM,Germany,quantile,0.150,289.069302206785
2021-03-01,13 day ahead inc death,2021-03-14,GM,Germany,quantile,0.200,299.4015488196923
2021-03-01,13 day ahead inc death,2021-03-14,GM,Germany,quantile,0.250,309.3301920492829
