date,location,location_name,value
2019-12-31,GM,Germany,0
2020-01-01,GM,Germany,0
2020-01-02,GM,Germany,0
2020-01-03,GM,Germany,0
2020-01-04,GM,Germany,0
2020-01-05,GM,Germany,0
2020-01-06,GM,Germany,0
2020-01-07,GM,Germany,0
2020-01-08,GM,Germany,0
2020-01-09,GM,Germany,0
2020-01-10,GM,Germany,0
2020-01-11,GM,Germany,0
2020-01-12,GM,Germany,0
2020-01-13,GM,Germany,0
2020-01-14,GM,Germany,0
2020-01-15,GM,Germany,0
2020-01-16,GM,Germany,0
2020-01-17,GM,Germany,0
2020-01-18,GM,Germany,0
2020-01-19,GM,Germany,0
2020-01-20,GM,Germany,0
2020-01-21,GM,Germany,0
2020-01-22,GM,Germany,0
2020-01-23,GM,Germany,0
2020-01-24,GM,Germany,0
2020-01-25,GM,Germany,0
2020-01-26,GM,Germany,0
2020-01-27,GM,Germany,0
2020-01-28,GM,Germany,1
2020-01-29,GM,Germany,4
2020-01-30,GM,Germany,4
2020-01-31,GM,Germany,5
2020-02-01,GM,Germany,7
2020-02-02,GM,Germany,8
2020-02-03,GM,Germany,9
2020-02-04,GM,Germany,11
2020-02-05,GM,Germany,11
2020-02-06,GM,Germany,11
2020-02-07,GM,Germany,12
2020-02-08,GM,Germany,13
2020-02-09,GM,Germany,13
2020-02-10,GM,Germany,13
2020-02-11,GM,Germany,13
2020-02-12,GM,Germany,15
2020-02-13,GM,Germany,15
2020-02-14,GM,Germany,15
2020-02-15,GM,Germany,15
2020-02-16,GM,Germany,15
2020-02-17,GM,Germany,15
2020-02-18,GM,Germany,15
2020-02-19,GM,Germany,15
2020-02-20,GM,Germany,15
2020-02-21,GM,Germany,15
2020-02-22,GM,Germany,15
2020-02-23,GM,Germany,15
2020-02-24,GM,Germany,15
2020-02-25,GM,Germany,15
2020-02-26,GM,Germany,17
2020-02-27,GM,Germany,21
2020-02-28,GM,Germany,47
2020-02-29,GM,Germany,57
2020-03-01,GM,Germany,111
2020-03-02,GM,Germany,129
2020-03-03,GM,Germany,157
2020-03-04,GM,Germany,196
2020-03-05,GM,Germany,262
2020-03-06,GM,Germany,400
2020-03-07,GM,Germany,684
2020-03-08,GM,Germany,847
2020-03-09,GM,Germany,902
2020-03-10,GM,Germany,1139
2020-03-11,GM,Germany,1296
2020-03-12,GM,Germany,1567
2020-03-13,GM,Germany,2369
2020-03-14,GM,Germany,3062
2020-03-15,GM,Germany,3795
2020-03-16,GM,Germany,4838
2020-03-17,GM,Germany,6012
2020-03-18,GM,Germany,7156
2020-03-19,GM,Germany,8198
2020-03-20,GM,Germany,14138
2020-03-21,GM,Germany,18187
2020-03-22,GM,Germany,21463
2020-03-23,GM,Germany,24774
2020-03-24,GM,Germany,29212
2020-03-25,GM,Germany,31554
2020-03-26,GM,Germany,36508
2020-03-27,GM,Germany,42288
2020-03-28,GM,Germany,48582
2020-03-29,GM,Germany,52547
2020-03-30,GM,Germany,57298
2020-03-31,GM,Germany,61913
2020-04-01,GM,Germany,67366
2020-04-02,GM,Germany,73522
2020-04-03,GM,Germany,79696
2020-04-04,GM,Germany,85778
2020-04-05,GM,Germany,91714
2020-04-06,GM,Germany,95391
2020-04-07,GM,Germany,99225
2020-04-08,GM,Germany,103228
2020-04-09,GM,Germany,108202
2020-04-10,GM,Germany,113525
2020-04-11,GM,Germany,117658
2020-04-12,GM,Germany,120479
2020-04-13,GM,Germany,123016
2020-04-14,GM,Germany,125098
2020-04-15,GM,Germany,127584
2020-04-16,GM,Germany,130450
2020-04-17,GM,Germany,133830
2020-04-18,GM,Germany,137439
2020-04-19,GM,Germany,139897
2020-04-20,GM,Germany,141672
2020-04-21,GM,Germany,143457
2020-04-22,GM,Germany,145694
2020-04-23,GM,Germany,148046
2020-04-24,GM,Germany,150383
2020-04-25,GM,Germany,152438
2020-04-26,GM,Germany,154175
2020-04-27,GM,Germany,155193
2020-04-28,GM,Germany,156337
2020-04-29,GM,Germany,157641
2020-04-30,GM,Germany,159119
2020-05-01,GM,Germany,160758
2020-05-02,GM,Germany,161703
2020-05-03,GM,Germany,162496
2020-05-04,GM,Germany,163175
2020-05-05,GM,Germany,163860
2020-05-06,GM,Germany,164807
2020-05-07,GM,Germany,166091
2020-05-08,GM,Germany,167300
2020-05-09,GM,Germany,168551
2020-05-10,GM,Germany,169218
2020-05-11,GM,Germany,169575
2020-05-12,GM,Germany,170508
2020-05-13,GM,Germany,171306
2020-05-14,GM,Germany,172239
2020-05-15,GM,Germany,173152
2020-05-16,GM,Germany,173772
2020-05-17,GM,Germany,174355
2020-05-18,GM,Germany,174697
2020-05-19,GM,Germany,175210
2020-05-20,GM,Germany,176007
2020-05-21,GM,Germany,176752
2020-05-22,GM,Germany,177212
2020-05-23,GM,Germany,177850
2020-05-24,GM,Germany,178281
2020-05-25,GM,Germany,178570
2020-05-26,GM,Germany,179002
2020-05-27,GM,Germany,179364
2020-05-28,GM,Germany,179717
2020-05-29,GM,Germany,180458
2020-05-30,GM,Germany,181196
2020-05-31,GM,Germany,181482
2020-06-01,GM,Germany,181815
2020-06-02,GM,Germany,182028
2020-06-03,GM,Germany,182370
2020-06-04,GM,Germany,182764
2020-06-05,GM,Germany,183271
2020-06-06,GM,Germany,183678
2020-06-07,GM,Germany,183979
2020-06-08,GM,Germany,184193
2020-06-09,GM,Germany,184543
2020-06-10,GM,Germany,184861
2020-06-11,GM,Germany,185416
2020-06-12,GM,Germany,185674
2020-06-13,GM,Germany,186022
2020-06-14,GM,Germany,186269
2020-06-15,GM,Germany,186461
2020-06-16,GM,Germany,186839
2020-06-17,GM,Germany,187184
2020-06-18,GM,Germany,187764
2020-06-19,GM,Germany,188534
2020-06-20,GM,Germany,189135
2020-06-21,GM,Germany,189822
2020-06-22,GM,Germany,190359
2020-06-23,GM,Germany,190862
2020-06-24,GM,Germany,191449
2020-06-25,GM,Germany,192079
2020-06-26,GM,Germany,192556
2020-06-27,GM,Germany,193243
2020-06-28,GM,Germany,193499
2020-06-29,GM,Germany,193761
2020-06-30,GM,Germany,194259
2020-07-01,GM,Germany,194725
2020-07-02,GM,Germany,195228
2020-07-03,GM,Germany,195674
2020-07-04,GM,Germany,196096
2020-07-05,GM,Germany,196335
2020-07-06,GM,Germany,196554
2020-07-07,GM,Germany,196944
2020-07-08,GM,Germany,197341
2020-07-09,GM,Germany,197783
2020-07-10,GM,Germany,198178
2020-07-11,GM,Germany,198556
2020-07-12,GM,Germany,198804
2020-07-13,GM,Germany,198963
2020-07-14,GM,Germany,199375
2020-07-15,GM,Germany,199726
2020-07-16,GM,Germany,200260
2020-07-17,GM,Germany,200843
2020-07-18,GM,Germany,201372
2020-07-19,GM,Germany,201574
2020-07-20,GM,Germany,201823
2020-07-21,GM,Germany,202345
2020-07-22,GM,Germany,202799
2020-07-23,GM,Germany,203368
2020-07-24,GM,Germany,204183
2020-07-25,GM,Germany,204964
2020-07-26,GM,Germany,205269
2020-07-27,GM,Germany,205609
2020-07-28,GM,Germany,206242
2020-07-29,GM,Germany,206926
2020-07-30,GM,Germany,207828
2020-07-31,GM,Germany,208698
2020-08-01,GM,Germany,209653
2020-08-02,GM,Germany,209893
2020-08-03,GM,Germany,210402
2020-08-04,GM,Germany,211281
2020-08-05,GM,Germany,212022
2020-08-06,GM,Germany,213067
2020-08-07,GM,Germany,214214
2020-08-08,GM,Germany,215336
2020-08-09,GM,Germany,215891
2020-08-10,GM,Germany,216327
2020-08-11,GM,Germany,217293
2020-08-12,GM,Germany,218519
2020-08-13,GM,Germany,219964
2020-08-14,GM,Germany,221413
2020-08-15,GM,Germany,222828
2020-08-16,GM,Germany,223453
2020-08-17,GM,Germany,224014
2020-08-18,GM,Germany,225404
2020-08-19,GM,Germany,226914
2020-08-20,GM,Germany,228621
2020-08-21,GM,Germany,230048
2020-08-22,GM,Germany,232082
2020-08-23,GM,Germany,232864
2020-08-24,GM,Germany,233575
