date,location,location_name,value
2020-03-04,PL,Poland,0
2020-03-07,PL,Poland,0
2020-03-08,PL,Poland,0
2020-03-09,PL,Poland,0
2020-03-10,PL,Poland,0
2020-03-11,PL,Poland,0
2020-03-12,PL,Poland,0
2020-03-13,PL,Poland,1
2020-03-14,PL,Poland,1
2020-03-15,PL,Poland,1
2020-03-16,PL,Poland,0
2020-03-17,PL,Poland,1
2020-03-18,PL,Poland,1
2020-03-19,PL,Poland,0
2020-03-20,PL,Poland,0
2020-03-21,PL,Poland,0
2020-03-22,PL,Poland,0
2020-03-23,PL,Poland,2
2020-03-24,PL,Poland,1
2020-03-25,PL,Poland,2
2020-03-26,PL,Poland,4
2020-03-27,PL,Poland,2
2020-03-28,PL,Poland,0
2020-03-29,PL,Poland,2
2020-03-30,PL,Poland,4
2020-03-31,PL,Poland,9
2020-04-01,PL,Poland,2
2020-04-02,PL,Poland,10
2020-04-03,PL,Poland,14
2020-04-04,PL,Poland,14
2020-04-05,PL,Poland,8
2020-04-06,PL,Poland,15
2020-04-07,PL,Poland,13
2020-04-08,PL,Poland,22
2020-04-09,PL,Poland,30
2020-04-10,PL,Poland,15
2020-04-11,PL,Poland,7
2020-04-12,PL,Poland,27
2020-04-13,PL,Poland,24
2020-04-14,PL,Poland,13
2020-04-15,PL,Poland,18
2020-04-16,PL,Poland,23
2020-04-17,PL,Poland,28
2020-04-18,PL,Poland,18
2020-04-19,PL,Poland,15
2020-04-20,PL,Poland,13
2020-04-21,PL,Poland,20
2020-04-22,PL,Poland,21
2020-04-23,PL,Poland,25
2020-04-24,PL,Poland,28
2020-04-25,PL,Poland,40
2020-04-26,PL,Poland,30
2020-04-27,PL,Poland,11
2020-04-28,PL,Poland,27
2020-04-29,PL,Poland,34
2020-04-30,PL,Poland,28
2020-05-01,PL,Poland,20
2020-05-02,PL,Poland,7
2020-05-03,PL,Poland,13
2020-05-04,PL,Poland,14
2020-05-05,PL,Poland,20
2020-05-06,PL,Poland,18
2020-05-07,PL,Poland,17
2020-05-08,PL,Poland,22
2020-05-09,PL,Poland,21
2020-05-10,PL,Poland,9
2020-05-11,PL,Poland,15
2020-05-12,PL,Poland,11
2020-05-13,PL,Poland,28
2020-05-14,PL,Poland,22
2020-05-15,PL,Poland,22
2020-05-16,PL,Poland,24
2020-05-17,PL,Poland,8
2020-05-18,PL,Poland,10
2020-05-19,PL,Poland,11
2020-05-20,PL,Poland,12
2020-05-21,PL,Poland,14
2020-05-22,PL,Poland,10
2020-05-23,PL,Poland,10
2020-05-24,PL,Poland,11
2020-05-25,PL,Poland,3
2020-05-26,PL,Poland,11
2020-05-27,PL,Poland,17
2020-05-28,PL,Poland,4
2020-05-29,PL,Poland,10
2020-05-30,PL,Poland,13
2020-05-31,PL,Poland,10
2020-06-01,PL,Poland,3
2020-06-02,PL,Poland,10
2020-06-03,PL,Poland,18
2020-06-04,PL,Poland,23
2020-06-05,PL,Poland,2
2020-06-06,PL,Poland,20
2020-06-07,PL,Poland,16
2020-06-08,PL,Poland,4
2020-06-09,PL,Poland,9
2020-06-10,PL,Poland,17
2020-06-11,PL,Poland,23
2020-06-12,PL,Poland,9
2020-06-13,PL,Poland,7
2020-06-14,PL,Poland,15
2020-06-15,PL,Poland,10
2020-06-16,PL,Poland,9
2020-06-17,PL,Poland,16
2020-06-18,PL,Poland,14
2020-06-19,PL,Poland,30
2020-06-20,PL,Poland,18
2020-06-21,PL,Poland,12
2020-06-22,PL,Poland,10
2020-06-23,PL,Poland,3
