"forecast_date","target","target_end_date","location","location_name","type","quantile","value"
2020-10-15,"-1 wk ahead inc death",2020-10-10,"GM","GM","observed",NA,77
2020-10-15,"0 wk ahead inc death",2020-10-17,"GM","GM","point",NA,124
2020-10-15,"1 wk ahead inc death",2020-10-24,"GM","GM","point",NA,150
2020-10-15,"2 wk ahead inc death",2020-10-31,"GM","GM","point",NA,193
2020-10-15,"3 wk ahead inc death",2020-11-07,"GM","GM","point",NA,247
2020-10-15,"4 wk ahead inc death",2020-11-14,"GM","GM","point",NA,308
2020-10-15,"5 wk ahead inc death",2020-11-21,"GM","GM","point",NA,375
2020-10-15,"6 wk ahead inc death",2020-11-28,"GM","GM","point",NA,445
2020-10-15,"7 wk ahead inc death",2020-12-05,"GM","GM","point",NA,508
2020-10-15,"8 wk ahead inc death",2020-12-12,"GM","GM","point",NA,560
2020-10-15,"9 wk ahead inc death",2020-12-19,"GM","GM","point",NA,588
2020-10-15,"10 wk ahead inc death",2020-12-26,"GM","GM","point",NA,590
2020-10-15,"11 wk ahead inc death",2021-01-02,"GM","GM","point",NA,565
2020-10-15,"12 wk ahead inc death",2021-01-09,"GM","GM","point",NA,517
2020-10-15,"13 wk ahead inc death",2021-01-16,"GM","GM","point",NA,454
2020-10-15,"14 wk ahead inc death",2021-01-23,"GM","GM","point",NA,384
2020-10-15,"-1 wk ahead cum death",2020-10-10,"GM","GM","observed",NA,9604
2020-10-15,"0 wk ahead cum death",2020-10-17,"GM","GM","point",NA,9728
2020-10-15,"1 wk ahead cum death",2020-10-24,"GM","GM","point",NA,9878
2020-10-15,"2 wk ahead cum death",2020-10-31,"GM","GM","point",NA,10071
2020-10-15,"3 wk ahead cum death",2020-11-07,"GM","GM","point",NA,10318
2020-10-15,"4 wk ahead cum death",2020-11-14,"GM","GM","point",NA,10626
2020-10-15,"5 wk ahead cum death",2020-11-21,"GM","GM","point",NA,11001
2020-10-15,"6 wk ahead cum death",2020-11-28,"GM","GM","point",NA,11446
2020-10-15,"7 wk ahead cum death",2020-12-05,"GM","GM","point",NA,11954
2020-10-15,"8 wk ahead cum death",2020-12-12,"GM","GM","point",NA,12514
2020-10-15,"9 wk ahead cum death",2020-12-19,"GM","GM","point",NA,13102
2020-10-15,"10 wk ahead cum death",2020-12-26,"GM","GM","point",NA,13692
2020-10-15,"11 wk ahead cum death",2021-01-02,"GM","GM","point",NA,14257
2020-10-15,"12 wk ahead cum death",2021-01-09,"GM","GM","point",NA,14774
2020-10-15,"13 wk ahead cum death",2021-01-16,"GM","GM","point",NA,15228
2020-10-15,"14 wk ahead cum death",2021-01-23,"GM","GM","point",NA,15612
2020-10-15,"-1 day ahead inc death",2020-10-14,"GM","GM","observed",NA,43
2020-10-15,"0 day ahead inc death",2020-10-15,"GM","GM","observed",NA,16
2020-10-15,"1 day ahead inc death",2020-10-16,"GM","GM","point",NA,17
2020-10-15,"2 day ahead inc death",2020-10-17,"GM","GM","point",NA,18
2020-10-15,"3 day ahead inc death",2020-10-18,"GM","GM","point",NA,19
2020-10-15,"4 day ahead inc death",2020-10-19,"GM","GM","point",NA,20
2020-10-15,"5 day ahead inc death",2020-10-20,"GM","GM","point",NA,21
2020-10-15,"6 day ahead inc death",2020-10-21,"GM","GM","point",NA,21
2020-10-15,"7 day ahead inc death",2020-10-22,"GM","GM","point",NA,22
2020-10-15,"8 day ahead inc death",2020-10-23,"GM","GM","point",NA,23
2020-10-15,"9 day ahead inc death",2020-10-24,"GM","GM","point",NA,24
2020-10-15,"10 day ahead inc death",2020-10-25,"GM","GM","point",NA,25
2020-10-15,"11 day ahead inc death",2020-10-26,"GM","GM","point",NA,26
2020-10-15,"12 day ahead inc death",2020-10-27,"GM","GM","point",NA,26
2020-10-15,"13 day ahead inc death",2020-10-28,"GM","GM","point",NA,28
2020-10-15,"14 day ahead inc death",2020-10-29,"GM","GM","point",NA,28
2020-10-15,"15 day ahead inc death",2020-10-30,"GM","GM","point",NA,30
2020-10-15,"16 day ahead inc death",2020-10-31,"GM","GM","point",NA,30
2020-10-15,"17 day ahead inc death",2020-11-01,"GM","GM","point",NA,32
2020-10-15,"18 day ahead inc death",2020-11-02,"GM","GM","point",NA,33
2020-10-15,"19 day ahead inc death",2020-11-03,"GM","GM","point",NA,34
2020-10-15,"20 day ahead inc death",2020-11-04,"GM","GM","point",NA,35
2020-10-15,"21 day ahead inc death",2020-11-05,"GM","GM","point",NA,36
2020-10-15,"22 day ahead inc death",2020-11-06,"GM","GM","point",NA,38
2020-10-15,"23 day ahead inc death",2020-11-07,"GM","GM","point",NA,39
2020-10-15,"24 day ahead inc death",2020-11-08,"GM","GM","point",NA,40
2020-10-15,"25 day ahead inc death",2020-11-09,"GM","GM","point",NA,41
2020-10-15,"26 day ahead inc death",2020-11-10,"GM","GM","point",NA,43
2020-10-15,"27 day ahead inc death",2020-11-11,"GM","GM","point",NA,44
2020-10-15,"28 day ahead inc death",2020-11-12,"GM","GM","point",NA,45
2020-10-15,"29 day ahead inc death",2020-11-13,"GM","GM","point",NA,47
2020-10-15,"30 day ahead inc death",2020-11-14,"GM","GM","point",NA,48
2020-10-15,"31 day ahead inc death",2020-11-15,"GM","GM","point",NA,49
2020-10-15,"32 day ahead inc death",2020-11-16,"GM","GM","point",NA,51
2020-10-15,"33 day ahead inc death",2020-11-17,"GM","GM","point",NA,52
2020-10-15,"34 day ahead inc death",2020-11-18,"GM","GM","point",NA,54
2020-10-15,"35 day ahead inc death",2020-11-19,"GM","GM","point",NA,55
2020-10-15,"36 day ahead inc death",2020-11-20,"GM","GM","point",NA,56
2020-10-15,"37 day ahead inc death",2020-11-21,"GM","GM","point",NA,58
2020-10-15,"38 day ahead inc death",2020-11-22,"GM","GM","point",NA,59
2020-10-15,"39 day ahead inc death",2020-11-23,"GM","GM","point",NA,61
2020-10-15,"40 day ahead inc death",2020-11-24,"GM","GM","point",NA,62
2020-10-15,"41 day ahead inc death",2020-11-25,"GM","GM","point",NA,64
2020-10-15,"42 day ahead inc death",2020-11-26,"GM","GM","point",NA,65
2020-10-15,"43 day ahead inc death",2020-11-27,"GM","GM","point",NA,66
2020-10-15,"44 day ahead inc death",2020-11-28,"GM","GM","point",NA,68
2020-10-15,"45 day ahead inc death",2020-11-29,"GM","GM","point",NA,69
2020-10-15,"46 day ahead inc death",2020-11-30,"GM","GM","point",NA,70
2020-10-15,"47 day ahead inc death",2020-12-01,"GM","GM","point",NA,71
2020-10-15,"48 day ahead inc death",2020-12-02,"GM","GM","point",NA,73
2020-10-15,"49 day ahead inc death",2020-12-03,"GM","GM","point",NA,74
2020-10-15,"50 day ahead inc death",2020-12-04,"GM","GM","point",NA,75
2020-10-15,"51 day ahead inc death",2020-12-05,"GM","GM","point",NA,76
2020-10-15,"52 day ahead inc death",2020-12-06,"GM","GM","point",NA,78
2020-10-15,"53 day ahead inc death",2020-12-07,"GM","GM","point",NA,78
2020-10-15,"54 day ahead inc death",2020-12-08,"GM","GM","point",NA,79
2020-10-15,"55 day ahead inc death",2020-12-09,"GM","GM","point",NA,80
2020-10-15,"56 day ahead inc death",2020-12-10,"GM","GM","point",NA,81
2020-10-15,"57 day ahead inc death",2020-12-11,"GM","GM","point",NA,81
2020-10-15,"58 day ahead inc death",2020-12-12,"GM","GM","point",NA,83
2020-10-15,"59 day ahead inc death",2020-12-13,"GM","GM","point",NA,82
2020-10-15,"60 day ahead inc death",2020-12-14,"GM","GM","point",NA,84
2020-10-15,"61 day ahead inc death",2020-12-15,"GM","GM","point",NA,84
2020-10-15,"62 day ahead inc death",2020-12-16,"GM","GM","point",NA,84
2020-10-15,"63 day ahead inc death",2020-12-17,"GM","GM","point",NA,84
2020-10-15,"64 day ahead inc death",2020-12-18,"GM","GM","point",NA,85
2020-10-15,"65 day ahead inc death",2020-12-19,"GM","GM","point",NA,85
2020-10-15,"66 day ahead inc death",2020-12-20,"GM","GM","point",NA,84
2020-10-15,"67 day ahead inc death",2020-12-21,"GM","GM","point",NA,85
2020-10-15,"68 day ahead inc death",2020-12-22,"GM","GM","point",NA,85
2020-10-15,"69 day ahead inc death",2020-12-23,"GM","GM","point",NA,84
2020-10-15,"70 day ahead inc death",2020-12-24,"GM","GM","point",NA,85
2020-10-15,"71 day ahead inc death",2020-12-25,"GM","GM","point",NA,83
2020-10-15,"72 day ahead inc death",2020-12-26,"GM","GM","point",NA,84
2020-10-15,"73 day ahead inc death",2020-12-27,"GM","GM","point",NA,83
2020-10-15,"74 day ahead inc death",2020-12-28,"GM","GM","point",NA,82
2020-10-15,"75 day ahead inc death",2020-12-29,"GM","GM","point",NA,82
2020-10-15,"76 day ahead inc death",2020-12-30,"GM","GM","point",NA,80
2020-10-15,"77 day ahead inc death",2020-12-31,"GM","GM","point",NA,81
2020-10-15,"78 day ahead inc death",2021-01-01,"GM","GM","point",NA,79
2020-10-15,"79 day ahead inc death",2021-01-02,"GM","GM","point",NA,78
2020-10-15,"80 day ahead inc death",2021-01-03,"GM","GM","point",NA,77
2020-10-15,"81 day ahead inc death",2021-01-04,"GM","GM","point",NA,77
2020-10-15,"82 day ahead inc death",2021-01-05,"GM","GM","point",NA,75
2020-10-15,"83 day ahead inc death",2021-01-06,"GM","GM","point",NA,74
2020-10-15,"84 day ahead inc death",2021-01-07,"GM","GM","point",NA,72
2020-10-15,"85 day ahead inc death",2021-01-08,"GM","GM","point",NA,72
2020-10-15,"86 day ahead inc death",2021-01-09,"GM","GM","point",NA,70
2020-10-15,"87 day ahead inc death",2021-01-10,"GM","GM","point",NA,69
2020-10-15,"88 day ahead inc death",2021-01-11,"GM","GM","point",NA,68
2020-10-15,"89 day ahead inc death",2021-01-12,"GM","GM","point",NA,66
2020-10-15,"90 day ahead inc death",2021-01-13,"GM","GM","point",NA,65
2020-10-15,"91 day ahead inc death",2021-01-14,"GM","GM","point",NA,63
2020-10-15,"92 day ahead inc death",2021-01-15,"GM","GM","point",NA,62
2020-10-15,"93 day ahead inc death",2021-01-16,"GM","GM","point",NA,61
2020-10-15,"94 day ahead inc death",2021-01-17,"GM","GM","point",NA,59
2020-10-15,"95 day ahead inc death",2021-01-18,"GM","GM","point",NA,58
2020-10-15,"96 day ahead inc death",2021-01-19,"GM","GM","point",NA,56
2020-10-15,"97 day ahead inc death",2021-01-20,"GM","GM","point",NA,55
2020-10-15,"98 day ahead inc death",2021-01-21,"GM","GM","point",NA,53
2020-10-15,"99 day ahead inc death",2021-01-22,"GM","GM","point",NA,52
2020-10-15,"100 day ahead inc death",2021-01-23,"GM","GM","point",NA,51
2020-10-15,"-1 day ahead cum death",2020-10-14,"GM","GM","observed",NA,9677
2020-10-15,"0 day ahead cum death",2020-10-15,"GM","GM","observed",NA,9693
2020-10-15,"1 day ahead cum death",2020-10-16,"GM","GM","point",NA,9710
2020-10-15,"2 day ahead cum death",2020-10-17,"GM","GM","point",NA,9728
2020-10-15,"3 day ahead cum death",2020-10-18,"GM","GM","point",NA,9747
2020-10-15,"4 day ahead cum death",2020-10-19,"GM","GM","point",NA,9767
2020-10-15,"5 day ahead cum death",2020-10-20,"GM","GM","point",NA,9788
2020-10-15,"6 day ahead cum death",2020-10-21,"GM","GM","point",NA,9809
2020-10-15,"7 day ahead cum death",2020-10-22,"GM","GM","point",NA,9831
2020-10-15,"8 day ahead cum death",2020-10-23,"GM","GM","point",NA,9854
2020-10-15,"9 day ahead cum death",2020-10-24,"GM","GM","point",NA,9878
2020-10-15,"10 day ahead cum death",2020-10-25,"GM","GM","point",NA,9903
2020-10-15,"11 day ahead cum death",2020-10-26,"GM","GM","point",NA,9929
2020-10-15,"12 day ahead cum death",2020-10-27,"GM","GM","point",NA,9955
2020-10-15,"13 day ahead cum death",2020-10-28,"GM","GM","point",NA,9983
2020-10-15,"14 day ahead cum death",2020-10-29,"GM","GM","point",NA,10011
2020-10-15,"15 day ahead cum death",2020-10-30,"GM","GM","point",NA,10041
2020-10-15,"16 day ahead cum death",2020-10-31,"GM","GM","point",NA,10071
2020-10-15,"17 day ahead cum death",2020-11-01,"GM","GM","point",NA,10103
2020-10-15,"18 day ahead cum death",2020-11-02,"GM","GM","point",NA,10136
2020-10-15,"19 day ahead cum death",2020-11-03,"GM","GM","point",NA,10170
2020-10-15,"20 day ahead cum death",2020-11-04,"GM","GM","point",NA,10205
2020-10-15,"21 day ahead cum death",2020-11-05,"GM","GM","point",NA,10241
2020-10-15,"22 day ahead cum death",2020-11-06,"GM","GM","point",NA,10279
2020-10-15,"23 day ahead cum death",2020-11-07,"GM","GM","point",NA,10318
2020-10-15,"24 day ahead cum death",2020-11-08,"GM","GM","point",NA,10358
2020-10-15,"25 day ahead cum death",2020-11-09,"GM","GM","point",NA,10399
2020-10-15,"26 day ahead cum death",2020-11-10,"GM","GM","point",NA,10442
2020-10-15,"27 day ahead cum death",2020-11-11,"GM","GM","point",NA,10486
2020-10-15,"28 day ahead cum death",2020-11-12,"GM","GM","point",NA,10531
2020-10-15,"29 day ahead cum death",2020-11-13,"GM","GM","point",NA,10578
2020-10-15,"30 day ahead cum death",2020-11-14,"GM","GM","point",NA,10626
2020-10-15,"31 day ahead cum death",2020-11-15,"GM","GM","point",NA,10675
2020-10-15,"32 day ahead cum death",2020-11-16,"GM","GM","point",NA,10726
2020-10-15,"33 day ahead cum death",2020-11-17,"GM","GM","point",NA,10778
2020-10-15,"34 day ahead cum death",2020-11-18,"GM","GM","point",NA,10832
2020-10-15,"35 day ahead cum death",2020-11-19,"GM","GM","point",NA,10887
2020-10-15,"36 day ahead cum death",2020-11-20,"GM","GM","point",NA,10943
2020-10-15,"37 day ahead cum death",2020-11-21,"GM","GM","point",NA,11001
2020-10-15,"38 day ahead cum death",2020-11-22,"GM","GM","point",NA,11060
2020-10-15,"39 day ahead cum death",2020-11-23,"GM","GM","point",NA,11121
2020-10-15,"40 day ahead cum death",2020-11-24,"GM","GM","point",NA,11183
2020-10-15,"41 day ahead cum death",2020-11-25,"GM","GM","point",NA,11247
2020-10-15,"42 day ahead cum death",2020-11-26,"GM","GM","point",NA,11312
2020-10-15,"43 day ahead cum death",2020-11-27,"GM","GM","point",NA,11378
2020-10-15,"44 day ahead cum death",2020-11-28,"GM","GM","point",NA,11446
2020-10-15,"45 day ahead cum death",2020-11-29,"GM","GM","point",NA,11515
2020-10-15,"46 day ahead cum death",2020-11-30,"GM","GM","point",NA,11585
2020-10-15,"47 day ahead cum death",2020-12-01,"GM","GM","point",NA,11656
2020-10-15,"48 day ahead cum death",2020-12-02,"GM","GM","point",NA,11729
2020-10-15,"49 day ahead cum death",2020-12-03,"GM","GM","point",NA,11803
2020-10-15,"50 day ahead cum death",2020-12-04,"GM","GM","point",NA,11878
2020-10-15,"51 day ahead cum death",2020-12-05,"GM","GM","point",NA,11954
2020-10-15,"52 day ahead cum death",2020-12-06,"GM","GM","point",NA,12032
2020-10-15,"53 day ahead cum death",2020-12-07,"GM","GM","point",NA,12110
2020-10-15,"54 day ahead cum death",2020-12-08,"GM","GM","point",NA,12189
2020-10-15,"55 day ahead cum death",2020-12-09,"GM","GM","point",NA,12269
2020-10-15,"56 day ahead cum death",2020-12-10,"GM","GM","point",NA,12350
2020-10-15,"57 day ahead cum death",2020-12-11,"GM","GM","point",NA,12431
2020-10-15,"58 day ahead cum death",2020-12-12,"GM","GM","point",NA,12514
2020-10-15,"59 day ahead cum death",2020-12-13,"GM","GM","point",NA,12596
2020-10-15,"60 day ahead cum death",2020-12-14,"GM","GM","point",NA,12680
2020-10-15,"61 day ahead cum death",2020-12-15,"GM","GM","point",NA,12764
2020-10-15,"62 day ahead cum death",2020-12-16,"GM","GM","point",NA,12848
2020-10-15,"63 day ahead cum death",2020-12-17,"GM","GM","point",NA,12932
2020-10-15,"64 day ahead cum death",2020-12-18,"GM","GM","point",NA,13017
2020-10-15,"65 day ahead cum death",2020-12-19,"GM","GM","point",NA,13102
2020-10-15,"66 day ahead cum death",2020-12-20,"GM","GM","point",NA,13186
2020-10-15,"67 day ahead cum death",2020-12-21,"GM","GM","point",NA,13271
2020-10-15,"68 day ahead cum death",2020-12-22,"GM","GM","point",NA,13356
2020-10-15,"69 day ahead cum death",2020-12-23,"GM","GM","point",NA,13440
2020-10-15,"70 day ahead cum death",2020-12-24,"GM","GM","point",NA,13525
2020-10-15,"71 day ahead cum death",2020-12-25,"GM","GM","point",NA,13608
2020-10-15,"72 day ahead cum death",2020-12-26,"GM","GM","point",NA,13692
2020-10-15,"73 day ahead cum death",2020-12-27,"GM","GM","point",NA,13775
2020-10-15,"74 day ahead cum death",2020-12-28,"GM","GM","point",NA,13857
2020-10-15,"75 day ahead cum death",2020-12-29,"GM","GM","point",NA,13939
2020-10-15,"76 day ahead cum death",2020-12-30,"GM","GM","point",NA,14019
2020-10-15,"77 day ahead cum death",2020-12-31,"GM","GM","point",NA,14100
2020-10-15,"78 day ahead cum death",2021-01-01,"GM","GM","point",NA,14179
2020-10-15,"79 day ahead cum death",2021-01-02,"GM","GM","point",NA,14257
2020-10-15,"80 day ahead cum death",2021-01-03,"GM","GM","point",NA,14334
2020-10-15,"81 day ahead cum death",2021-01-04,"GM","GM","point",NA,14411
2020-10-15,"82 day ahead cum death",2021-01-05,"GM","GM","point",NA,14486
2020-10-15,"83 day ahead cum death",2021-01-06,"GM","GM","point",NA,14560
2020-10-15,"84 day ahead cum death",2021-01-07,"GM","GM","point",NA,14632
2020-10-15,"85 day ahead cum death",2021-01-08,"GM","GM","point",NA,14704
2020-10-15,"86 day ahead cum death",2021-01-09,"GM","GM","point",NA,14774
2020-10-15,"87 day ahead cum death",2021-01-10,"GM","GM","point",NA,14843
2020-10-15,"88 day ahead cum death",2021-01-11,"GM","GM","point",NA,14911
2020-10-15,"89 day ahead cum death",2021-01-12,"GM","GM","point",NA,14977
2020-10-15,"90 day ahead cum death",2021-01-13,"GM","GM","point",NA,15042
2020-10-15,"91 day ahead cum death",2021-01-14,"GM","GM","point",NA,15105
2020-10-15,"92 day ahead cum death",2021-01-15,"GM","GM","point",NA,15167
2020-10-15,"93 day ahead cum death",2021-01-16,"GM","GM","point",NA,15228
2020-10-15,"94 day ahead cum death",2021-01-17,"GM","GM","point",NA,15287
2020-10-15,"95 day ahead cum death",2021-01-18,"GM","GM","point",NA,15345
2020-10-15,"96 day ahead cum death",2021-01-19,"GM","GM","point",NA,15401
2020-10-15,"97 day ahead cum death",2021-01-20,"GM","GM","point",NA,15456
2020-10-15,"98 day ahead cum death",2021-01-21,"GM","GM","point",NA,15509
2020-10-15,"99 day ahead cum death",2021-01-22,"GM","GM","point",NA,15561
2020-10-15,"100 day ahead cum death",2021-01-23,"GM","GM","point",NA,15612
2020-10-15,"-1 wk ahead inc death",2020-10-10,"GM01","GM01","observed",NA,11
2020-10-15,"0 wk ahead inc death",2020-10-17,"GM01","GM01","point",NA,17
2020-10-15,"1 wk ahead inc death",2020-10-24,"GM01","GM01","point",NA,20
2020-10-15,"2 wk ahead inc death",2020-10-31,"GM01","GM01","point",NA,27
2020-10-15,"3 wk ahead inc death",2020-11-07,"GM01","GM01","point",NA,35
2020-10-15,"4 wk ahead inc death",2020-11-14,"GM01","GM01","point",NA,45
2020-10-15,"5 wk ahead inc death",2020-11-21,"GM01","GM01","point",NA,57
2020-10-15,"6 wk ahead inc death",2020-11-28,"GM01","GM01","point",NA,68
2020-10-15,"7 wk ahead inc death",2020-12-05,"GM01","GM01","point",NA,79
2020-10-15,"8 wk ahead inc death",2020-12-12,"GM01","GM01","point",NA,87
2020-10-15,"9 wk ahead inc death",2020-12-19,"GM01","GM01","point",NA,90
2020-10-15,"10 wk ahead inc death",2020-12-26,"GM01","GM01","point",NA,88
2020-10-15,"11 wk ahead inc death",2021-01-02,"GM01","GM01","point",NA,83
2020-10-15,"12 wk ahead inc death",2021-01-09,"GM01","GM01","point",NA,72
2020-10-15,"13 wk ahead inc death",2021-01-16,"GM01","GM01","point",NA,61
2020-10-15,"14 wk ahead inc death",2021-01-23,"GM01","GM01","point",NA,49
2020-10-15,"-1 wk ahead cum death",2020-10-10,"GM01","GM01","observed",NA,1899
2020-10-15,"0 wk ahead cum death",2020-10-17,"GM01","GM01","point",NA,1916
2020-10-15,"1 wk ahead cum death",2020-10-24,"GM01","GM01","point",NA,1936
2020-10-15,"2 wk ahead cum death",2020-10-31,"GM01","GM01","point",NA,1963
2020-10-15,"3 wk ahead cum death",2020-11-07,"GM01","GM01","point",NA,1998
2020-10-15,"4 wk ahead cum death",2020-11-14,"GM01","GM01","point",NA,2043
2020-10-15,"5 wk ahead cum death",2020-11-21,"GM01","GM01","point",NA,2100
2020-10-15,"6 wk ahead cum death",2020-11-28,"GM01","GM01","point",NA,2168
2020-10-15,"7 wk ahead cum death",2020-12-05,"GM01","GM01","point",NA,2247
2020-10-15,"8 wk ahead cum death",2020-12-12,"GM01","GM01","point",NA,2334
2020-10-15,"9 wk ahead cum death",2020-12-19,"GM01","GM01","point",NA,2424
2020-10-15,"10 wk ahead cum death",2020-12-26,"GM01","GM01","point",NA,2512
2020-10-15,"11 wk ahead cum death",2021-01-02,"GM01","GM01","point",NA,2595
2020-10-15,"12 wk ahead cum death",2021-01-09,"GM01","GM01","point",NA,2667
2020-10-15,"13 wk ahead cum death",2021-01-16,"GM01","GM01","point",NA,2728
2020-10-15,"14 wk ahead cum death",2021-01-23,"GM01","GM01","point",NA,2777
2020-10-15,"-1 day ahead inc death",2020-10-14,"GM01","GM01","observed",NA,6
2020-10-15,"0 day ahead inc death",2020-10-15,"GM01","GM01","observed",NA,2
2020-10-15,"1 day ahead inc death",2020-10-16,"GM01","GM01","point",NA,2
2020-10-15,"2 day ahead inc death",2020-10-17,"GM01","GM01","point",NA,3
2020-10-15,"3 day ahead inc death",2020-10-18,"GM01","GM01","point",NA,2
2020-10-15,"4 day ahead inc death",2020-10-19,"GM01","GM01","point",NA,3
2020-10-15,"5 day ahead inc death",2020-10-20,"GM01","GM01","point",NA,3
2020-10-15,"6 day ahead inc death",2020-10-21,"GM01","GM01","point",NA,3
2020-10-15,"7 day ahead inc death",2020-10-22,"GM01","GM01","point",NA,3
2020-10-15,"8 day ahead inc death",2020-10-23,"GM01","GM01","point",NA,3
2020-10-15,"9 day ahead inc death",2020-10-24,"GM01","GM01","point",NA,3
2020-10-15,"10 day ahead inc death",2020-10-25,"GM01","GM01","point",NA,3
2020-10-15,"11 day ahead inc death",2020-10-26,"GM01","GM01","point",NA,4
2020-10-15,"12 day ahead inc death",2020-10-27,"GM01","GM01","point",NA,4
2020-10-15,"13 day ahead inc death",2020-10-28,"GM01","GM01","point",NA,3
2020-10-15,"14 day ahead inc death",2020-10-29,"GM01","GM01","point",NA,4
2020-10-15,"15 day ahead inc death",2020-10-30,"GM01","GM01","point",NA,5
2020-10-15,"16 day ahead inc death",2020-10-31,"GM01","GM01","point",NA,4
2020-10-15,"17 day ahead inc death",2020-11-01,"GM01","GM01","point",NA,4
2020-10-15,"18 day ahead inc death",2020-11-02,"GM01","GM01","point",NA,5
2020-10-15,"19 day ahead inc death",2020-11-03,"GM01","GM01","point",NA,5
2020-10-15,"20 day ahead inc death",2020-11-04,"GM01","GM01","point",NA,5
2020-10-15,"21 day ahead inc death",2020-11-05,"GM01","GM01","point",NA,5
2020-10-15,"22 day ahead inc death",2020-11-06,"GM01","GM01","point",NA,6
2020-10-15,"23 day ahead inc death",2020-11-07,"GM01","GM01","point",NA,5
2020-10-15,"24 day ahead inc death",2020-11-08,"GM01","GM01","point",NA,6
2020-10-15,"25 day ahead inc death",2020-11-09,"GM01","GM01","point",NA,6
2020-10-15,"26 day ahead inc death",2020-11-10,"GM01","GM01","point",NA,6
2020-10-15,"27 day ahead inc death",2020-11-11,"GM01","GM01","point",NA,7
2020-10-15,"28 day ahead inc death",2020-11-12,"GM01","GM01","point",NA,6
2020-10-15,"29 day ahead inc death",2020-11-13,"GM01","GM01","point",NA,7
2020-10-15,"30 day ahead inc death",2020-11-14,"GM01","GM01","point",NA,7
2020-10-15,"31 day ahead inc death",2020-11-15,"GM01","GM01","point",NA,8
2020-10-15,"32 day ahead inc death",2020-11-16,"GM01","GM01","point",NA,7
2020-10-15,"33 day ahead inc death",2020-11-17,"GM01","GM01","point",NA,8
2020-10-15,"34 day ahead inc death",2020-11-18,"GM01","GM01","point",NA,8
2020-10-15,"35 day ahead inc death",2020-11-19,"GM01","GM01","point",NA,9
2020-10-15,"36 day ahead inc death",2020-11-20,"GM01","GM01","point",NA,8
2020-10-15,"37 day ahead inc death",2020-11-21,"GM01","GM01","point",NA,9
2020-10-15,"38 day ahead inc death",2020-11-22,"GM01","GM01","point",NA,9
2020-10-15,"39 day ahead inc death",2020-11-23,"GM01","GM01","point",NA,9
2020-10-15,"40 day ahead inc death",2020-11-24,"GM01","GM01","point",NA,10
2020-10-15,"41 day ahead inc death",2020-11-25,"GM01","GM01","point",NA,10
2020-10-15,"42 day ahead inc death",2020-11-26,"GM01","GM01","point",NA,10
2020-10-15,"43 day ahead inc death",2020-11-27,"GM01","GM01","point",NA,10
2020-10-15,"44 day ahead inc death",2020-11-28,"GM01","GM01","point",NA,10
2020-10-15,"45 day ahead inc death",2020-11-29,"GM01","GM01","point",NA,11
2020-10-15,"46 day ahead inc death",2020-11-30,"GM01","GM01","point",NA,11
2020-10-15,"47 day ahead inc death",2020-12-01,"GM01","GM01","point",NA,11
2020-10-15,"48 day ahead inc death",2020-12-02,"GM01","GM01","point",NA,11
2020-10-15,"49 day ahead inc death",2020-12-03,"GM01","GM01","point",NA,12
2020-10-15,"50 day ahead inc death",2020-12-04,"GM01","GM01","point",NA,11
2020-10-15,"51 day ahead inc death",2020-12-05,"GM01","GM01","point",NA,12
2020-10-15,"52 day ahead inc death",2020-12-06,"GM01","GM01","point",NA,12
2020-10-15,"53 day ahead inc death",2020-12-07,"GM01","GM01","point",NA,12
2020-10-15,"54 day ahead inc death",2020-12-08,"GM01","GM01","point",NA,12
2020-10-15,"55 day ahead inc death",2020-12-09,"GM01","GM01","point",NA,13
2020-10-15,"56 day ahead inc death",2020-12-10,"GM01","GM01","point",NA,12
2020-10-15,"57 day ahead inc death",2020-12-11,"GM01","GM01","point",NA,13
2020-10-15,"58 day ahead inc death",2020-12-12,"GM01","GM01","point",NA,13
2020-10-15,"59 day ahead inc death",2020-12-13,"GM01","GM01","point",NA,12
2020-10-15,"60 day ahead inc death",2020-12-14,"GM01","GM01","point",NA,13
2020-10-15,"61 day ahead inc death",2020-12-15,"GM01","GM01","point",NA,13
2020-10-15,"62 day ahead inc death",2020-12-16,"GM01","GM01","point",NA,13
2020-10-15,"63 day ahead inc death",2020-12-17,"GM01","GM01","point",NA,13
2020-10-15,"64 day ahead inc death",2020-12-18,"GM01","GM01","point",NA,13
2020-10-15,"65 day ahead inc death",2020-12-19,"GM01","GM01","point",NA,13
2020-10-15,"66 day ahead inc death",2020-12-20,"GM01","GM01","point",NA,13
2020-10-15,"67 day ahead inc death",2020-12-21,"GM01","GM01","point",NA,13
2020-10-15,"68 day ahead inc death",2020-12-22,"GM01","GM01","point",NA,12
2020-10-15,"69 day ahead inc death",2020-12-23,"GM01","GM01","point",NA,13
2020-10-15,"70 day ahead inc death",2020-12-24,"GM01","GM01","point",NA,13
2020-10-15,"71 day ahead inc death",2020-12-25,"GM01","GM01","point",NA,12
2020-10-15,"72 day ahead inc death",2020-12-26,"GM01","GM01","point",NA,12
2020-10-15,"73 day ahead inc death",2020-12-27,"GM01","GM01","point",NA,13
2020-10-15,"74 day ahead inc death",2020-12-28,"GM01","GM01","point",NA,12
2020-10-15,"75 day ahead inc death",2020-12-29,"GM01","GM01","point",NA,12
2020-10-15,"76 day ahead inc death",2020-12-30,"GM01","GM01","point",NA,12
2020-10-15,"77 day ahead inc death",2020-12-31,"GM01","GM01","point",NA,11
