location,location_name,type,quantile,value,target_end_date,forecast_date,target
GM,Germany,quantile,0.01,70,2020-10-17,2020-10-12,1 wk ahead inc death
GM,Germany,quantile,0.025,71,2020-10-17,2020-10-12,1 wk ahead inc death
GM,Germany,quantile,0.05,72,2020-10-17,2020-10-12,1 wk ahead inc death
GM,Germany,quantile,0.1,73,2020-10-17,2020-10-12,1 wk ahead inc death
GM,Germany,quantile,0.15,75,2020-10-17,2020-10-12,1 wk ahead inc death
GM,Germany,quantile,0.2,77,2020-10-17,2020-10-12,1 wk ahead inc death
GM,Germany,quantile,0.25,79,2020-10-17,2020-10-12,1 wk ahead inc death
GM,Germany,quantile,0.3,81,2020-10-17,2020-10-12,1 wk ahead inc death
GM,Germany,quantile,0.35,83,2020-10-17,2020-10-12,1 wk ahead inc death
GM,Germany,quantile,0.4,85,2020-10-17,2020-10-12,1 wk ahead inc death
GM,Germany,quantile,0.45,87,2020-10-17,2020-10-12,1 wk ahead inc death
GM,Germany,quantile,0.5,89,2020-10-17,2020-10-12,1 wk ahead inc death
GM,Germany,quantile,0.55,91,2020-10-17,2020-10-12,1 wk ahead inc death
GM,Germany,quantile,0.6,93,2020-10-17,2020-10-12,1 wk ahead inc death
GM,Germany,quantile,0.65,95,2020-10-17,2020-10-12,1 wk ahead inc death
GM,Germany,quantile,0.7,97,2020-10-17,2020-10-12,1 wk ahead inc death
GM,Germany,quantile,0.75,100,2020-10-17,2020-10-12,1 wk ahead inc death
GM,Germany,quantile,0.8,102,2020-10-17,2020-10-12,1 wk ahead inc death
GM,Germany,quantile,0.85,104,2020-10-17,2020-10-12,1 wk ahead inc death
GM,Germany,quantile,0.9,107,2020-10-17,2020-10-12,1 wk ahead inc death
GM,Germany,quantile,0.95,110,2020-10-17,2020-10-12,1 wk ahead inc death
GM,Germany,quantile,0.975,111,2020-10-17,2020-10-12,1 wk ahead inc death
GM,Germany,quantile,0.99,112,2020-10-17,2020-10-12,1 wk ahead inc death
GM,Germany,point,,89,2020-10-17,2020-10-12,1 wk ahead inc death
GM,Germany,quantile,0.01,60,2020-10-24,2020-10-12,2 wk ahead inc death
GM,Germany,quantile,0.025,61,2020-10-24,2020-10-12,2 wk ahead inc death
GM,Germany,quantile,0.05,62,2020-10-24,2020-10-12,2 wk ahead inc death
GM,Germany,quantile,0.1,65,2020-10-24,2020-10-12,2 wk ahead inc death
GM,Germany,quantile,0.15,69,2020-10-24,2020-10-12,2 wk ahead inc death
GM,Germany,quantile,0.2,72,2020-10-24,2020-10-12,2 wk ahead inc death
GM,Germany,quantile,0.25,76,2020-10-24,2020-10-12,2 wk ahead inc death
GM,Germany,quantile,0.3,80,2020-10-24,2020-10-12,2 wk ahead inc death
GM,Germany,quantile,0.35,83,2020-10-24,2020-10-12,2 wk ahead inc death
GM,Germany,quantile,0.4,86,2020-10-24,2020-10-12,2 wk ahead inc death
GM,Germany,quantile,0.45,89,2020-10-24,2020-10-12,2 wk ahead inc death
GM,Germany,quantile,0.5,93,2020-10-24,2020-10-12,2 wk ahead inc death
GM,Germany,quantile,0.55,97,2020-10-24,2020-10-12,2 wk ahead inc death
GM,Germany,quantile,0.6,100,2020-10-24,2020-10-12,2 wk ahead inc death
GM,Germany,quantile,0.65,105,2020-10-24,2020-10-12,2 wk ahead inc death
GM,Germany,quantile,0.7,109,2020-10-24,2020-10-12,2 wk ahead inc death
GM,Germany,quantile,0.75,113,2020-10-24,2020-10-12,2 wk ahead inc death
