location,location_name,type,quantile,value,target_end_date,forecast_date,target
GM,Germany,quantile,0.01,34838,2020-10-17,2020-10-12,1 wk ahead inc case
GM,Germany,quantile,0.025,34982,2020-10-17,2020-10-12,1 wk ahead inc case
GM,Germany,quantile,0.05,35259,2020-10-17,2020-10-12,1 wk ahead inc case
GM,Germany,quantile,0.1,35862,2020-10-17,2020-10-12,1 wk ahead inc case
GM,Germany,quantile,0.15,36425,2020-10-17,2020-10-12,1 wk ahead inc case
GM,Germany,quantile,0.2,36950,2020-10-17,2020-10-12,1 wk ahead inc case
GM,Germany,quantile,0.25,37483,2020-10-17,2020-10-12,1 wk ahead inc case
GM,Germany,quantile,0.3,37960,2020-10-17,2020-10-12,1 wk ahead inc case
GM,Germany,quantile,0.35,38542,2020-10-17,2020-10-12,1 wk ahead inc case
GM,Germany,quantile,0.4,39030,2020-10-17,2020-10-12,1 wk ahead inc case
GM,Germany,quantile,0.45,39484,2020-10-17,2020-10-12,1 wk ahead inc case
GM,Germany,quantile,0.5,40094,2020-10-17,2020-10-12,1 wk ahead inc case
GM,Germany,quantile,0.55,40697,2020-10-17,2020-10-12,1 wk ahead inc case
GM,Germany,quantile,0.6,41348,2020-10-17,2020-10-12,1 wk ahead inc case
GM,Germany,quantile,0.65,42014,2020-10-17,2020-10-12,1 wk ahead inc case
GM,Germany,quantile,0.7,42636,2020-10-17,2020-10-12,1 wk ahead inc case
GM,Germany,quantile,0.75,43350,2020-10-17,2020-10-12,1 wk ahead inc case
GM,Germany,quantile,0.8,44008,2020-10-17,2020-10-12,1 wk ahead inc case
GM,Germany,quantile,0.85,44702,2020-10-17,2020-10-12,1 wk ahead inc case
GM,Germany,quantile,0.9,45359,2020-10-17,2020-10-12,1 wk ahead inc case
GM,Germany,quantile,0.95,46129,2020-10-17,2020-10-12,1 wk ahead inc case
GM,Germany,quantile,0.975,46635,2020-10-17,2020-10-12,1 wk ahead inc case
GM,Germany,quantile,0.99,46887,2020-10-17,2020-10-12,1 wk ahead inc case
GM,Germany,point,,40094,2020-10-17,2020-10-12,1 wk ahead inc case
GM,Germany,quantile,0.01,55569,2020-10-24,2020-10-12,2 wk ahead inc case
GM,Germany,quantile,0.025,56116,2020-10-24,2020-10-12,2 wk ahead inc case
GM,Germany,quantile,0.05,56860,2020-10-24,2020-10-12,2 wk ahead inc case
GM,Germany,quantile,0.1,58320,2020-10-24,2020-10-12,2 wk ahead inc case
GM,Germany,quantile,0.15,59954,2020-10-24,2020-10-12,2 wk ahead inc case
GM,Germany,quantile,0.2,61780,2020-10-24,2020-10-12,2 wk ahead inc case
GM,Germany,quantile,0.25,63589,2020-10-24,2020-10-12,2 wk ahead inc case
GM,Germany,quantile,0.3,65120,2020-10-24,2020-10-12,2 wk ahead inc case
GM,Germany,quantile,0.35,66877,2020-10-24,2020-10-12,2 wk ahead inc case
GM,Germany,quantile,0.4,68912,2020-10-24,2020-10-12,2 wk ahead inc case
GM,Germany,quantile,0.45,70993,2020-10-24,2020-10-12,2 wk ahead inc case
GM,Germany,quantile,0.5,73128,2020-10-24,2020-10-12,2 wk ahead inc case
GM,Germany,quantile,0.55,75464,2020-10-24,2020-10-12,2 wk ahead inc case
GM,Germany,quantile,0.6,78413,2020-10-24,2020-10-12,2 wk ahead inc case
GM,Germany,quantile,0.65,81039,2020-10-24,2020-10-12,2 wk ahead inc case
GM,Germany,quantile,0.7,83517,2020-10-24,2020-10-12,2 wk ahead inc case
GM,Germany,quantile,0.75,86259,2020-10-24,2020-10-12,2 wk ahead inc case
GM,Germany,quantile,0.8,89401,2020-10-24,2020-10-12,2 wk ahead inc case
GM,Germany,quantile,0.85,92230,2020-10-24,2020-10-12,2 wk ahead inc case
GM,Germany,quantile,0.9,95453,2020-10-24,2020-10-12,2 wk ahead inc case
GM,Germany,quantile,0.95,99007,2020-10-24,2020-10-12,2 wk ahead inc case
GM,Germany,quantile,0.975,101397,2020-10-24,2020-10-12,2 wk ahead inc case
GM,Germany,quantile,0.99,102580,2020-10-24,2020-10-12,2 wk ahead inc case
GM,Germany,point,,73128,2020-10-24,2020-10-12,2 wk ahead inc case
GM,Germany,quantile,0.01,88739,2020-10-31,2020-10-12,3 wk ahead inc case
GM,Germany,quantile,0.025,89673,2020-10-31,2020-10-12,3 wk ahead inc case
GM,Germany,quantile,0.05,91668,2020-10-31,2020-10-12,3 wk ahead inc case
GM,Germany,quantile,0.1,95140,2020-10-31,2020-10-12,3 wk ahead inc case
GM,Germany,quantile,0.15,98309,2020-10-31,2020-10-12,3 wk ahead inc case
GM,Germany,quantile,0.2,102608,2020-10-31,2020-10-12,3 wk ahead inc case
GM,Germany,quantile,0.25,107085,2020-10-31,2020-10-12,3 wk ahead inc case
GM,Germany,quantile,0.3,112031,2020-10-31,2020-10-12,3 wk ahead inc case
GM,Germany,quantile,0.35,116521,2020-10-31,2020-10-12,3 wk ahead inc case
GM,Germany,quantile,0.4,121441,2020-10-31,2020-10-12,3 wk ahead inc case
GM,Germany,quantile,0.45,126434,2020-10-31,2020-10-12,3 wk ahead inc case
GM,Germany,quantile,0.5,132674,2020-10-31,2020-10-12,3 wk ahead inc case
GM,Germany,quantile,0.55,140140,2020-10-31,2020-10-12,3 wk ahead inc case
GM,Germany,quantile,0.6,147841,2020-10-31,2020-10-12,3 wk ahead inc case
GM,Germany,quantile,0.65,155282,2020-10-31,2020-10-12,3 wk ahead inc case
GM,Germany,quantile,0.7,162100,2020-10-31,2020-10-12,3 wk ahead inc case
GM,Germany,quantile,0.75,171773,2020-10-31,2020-10-12,3 wk ahead inc case
GM,Germany,quantile,0.8,180500,2020-10-31,2020-10-12,3 wk ahead inc case
GM,Germany,quantile,0.85,190588,2020-10-31,2020-10-12,3 wk ahead inc case
GM,Germany,quantile,0.9,206465,2020-10-31,2020-10-12,3 wk ahead inc case
GM,Germany,quantile,0.95,219448,2020-10-31,2020-10-12,3 wk ahead inc case
GM,Germany,quantile,0.975,227098,2020-10-31,2020-10-12,3 wk ahead inc case
GM,Germany,quantile,0.99,231651,2020-10-31,2020-10-12,3 wk ahead inc case
GM,Germany,point,,132674,2020-10-31,2020-10-12,3 wk ahead inc case
GM,Germany,quantile,0.01,139268,2020-11-07,2020-10-12,4 wk ahead inc case
GM,Germany,quantile,0.025,141355,2020-11-07,2020-10-12,4 wk ahead inc case
GM,Germany,quantile,0.05,145198,2020-11-07,2020-10-12,4 wk ahead inc case
GM,Germany,quantile,0.1,153872,2020-11-07,2020-10-12,4 wk ahead inc case
GM,Germany,quantile,0.15,162792,2020-11-07,2020-10-12,4 wk ahead inc case
GM,Germany,quantile,0.2,173470,2020-11-07,2020-10-12,4 wk ahead inc case
GM,Germany,quantile,0.25,183000,2020-11-07,2020-10-12,4 wk ahead inc case
GM,Germany,quantile,0.3,192095,2020-11-07,2020-10-12,4 wk ahead inc case
GM,Germany,quantile,0.35,203287,2020-11-07,2020-10-12,4 wk ahead inc case
GM,Germany,quantile,0.4,214956,2020-11-07,2020-10-12,4 wk ahead inc case
GM,Germany,quantile,0.45,228672,2020-11-07,2020-10-12,4 wk ahead inc case
GM,Germany,quantile,0.5,246730,2020-11-07,2020-10-12,4 wk ahead inc case
GM,Germany,quantile,0.55,263126,2020-11-07,2020-10-12,4 wk ahead inc case
GM,Germany,quantile,0.6,281955,2020-11-07,2020-10-12,4 wk ahead inc case
GM,Germany,quantile,0.65,300640,2020-11-07,2020-10-12,4 wk ahead inc case
GM,Germany,quantile,0.7,319270,2020-11-07,2020-10-12,4 wk ahead inc case
GM,Germany,quantile,0.75,343874,2020-11-07,2020-10-12,4 wk ahead inc case
GM,Germany,quantile,0.8,376587,2020-11-07,2020-10-12,4 wk ahead inc case
GM,Germany,quantile,0.85,410452,2020-11-07,2020-10-12,4 wk ahead inc case
GM,Germany,quantile,0.9,443271,2020-11-07,2020-10-12,4 wk ahead inc case
GM,Germany,quantile,0.95,487566,2020-11-07,2020-10-12,4 wk ahead inc case
GM,Germany,quantile,0.975,507621,2020-11-07,2020-10-12,4 wk ahead inc case
GM,Germany,quantile,0.99,524928,2020-11-07,2020-10-12,4 wk ahead inc case
GM,Germany,point,,246730,2020-11-07,2020-10-12,4 wk ahead inc case
GM,Germany,quantile,0.01,354219,2020-10-17,2020-10-12,1 wk ahead cum case
GM,Germany,quantile,0.025,354363,2020-10-17,2020-10-12,1 wk ahead cum case
GM,Germany,quantile,0.05,354640,2020-10-17,2020-10-12,1 wk ahead cum case
GM,Germany,quantile,0.1,355243,2020-10-17,2020-10-12,1 wk ahead cum case
GM,Germany,quantile,0.15,355806,2020-10-17,2020-10-12,1 wk ahead cum case
GM,Germany,quantile,0.2,356331,2020-10-17,2020-10-12,1 wk ahead cum case
GM,Germany,quantile,0.25,356864,2020-10-17,2020-10-12,1 wk ahead cum case
GM,Germany,quantile,0.3,357341,2020-10-17,2020-10-12,1 wk ahead cum case
GM,Germany,quantile,0.35,357923,2020-10-17,2020-10-12,1 wk ahead cum case
GM,Germany,quantile,0.4,358411,2020-10-17,2020-10-12,1 wk ahead cum case
GM,Germany,quantile,0.45,358865,2020-10-17,2020-10-12,1 wk ahead cum case
GM,Germany,quantile,0.5,359475,2020-10-17,2020-10-12,1 wk ahead cum case
GM,Germany,quantile,0.55,360078,2020-10-17,2020-10-12,1 wk ahead cum case
GM,Germany,quantile,0.6,360729,2020-10-17,2020-10-12,1 wk ahead cum case
GM,Germany,quantile,0.65,361395,2020-10-17,2020-10-12,1 wk ahead cum case
GM,Germany,quantile,0.7,362017,2020-10-17,2020-10-12,1 wk ahead cum case
GM,Germany,quantile,0.75,362731,2020-10-17,2020-10-12,1 wk ahead cum case
GM,Germany,quantile,0.8,363389,2020-10-17,2020-10-12,1 wk ahead cum case
GM,Germany,quantile,0.85,364083,2020-10-17,2020-10-12,1 wk ahead cum case
GM,Germany,quantile,0.9,364740,2020-10-17,2020-10-12,1 wk ahead cum case
GM,Germany,quantile,0.95,365510,2020-10-17,2020-10-12,1 wk ahead cum case
GM,Germany,quantile,0.975,366016,2020-10-17,2020-10-12,1 wk ahead cum case
GM,Germany,quantile,0.99,366268,2020-10-17,2020-10-12,1 wk ahead cum case
GM,Germany,point,,359475,2020-10-17,2020-10-12,1 wk ahead cum case
GM,Germany,quantile,0.01,409788,2020-10-24,2020-10-12,2 wk ahead cum case
GM,Germany,quantile,0.025,410479,2020-10-24,2020-10-12,2 wk ahead cum case
GM,Germany,quantile,0.05,411500,2020-10-24,2020-10-12,2 wk ahead cum case
GM,Germany,quantile,0.1,413563,2020-10-24,2020-10-12,2 wk ahead cum case
GM,Germany,quantile,0.15,415760,2020-10-24,2020-10-12,2 wk ahead cum case
GM,Germany,quantile,0.2,418111,2020-10-24,2020-10-12,2 wk ahead cum case
GM,Germany,quantile,0.25,420453,2020-10-24,2020-10-12,2 wk ahead cum case
GM,Germany,quantile,0.3,422461,2020-10-24,2020-10-12,2 wk ahead cum case
GM,Germany,quantile,0.35,424800,2020-10-24,2020-10-12,2 wk ahead cum case
GM,Germany,quantile,0.4,427323,2020-10-24,2020-10-12,2 wk ahead cum case
GM,Germany,quantile,0.45,429858,2020-10-24,2020-10-12,2 wk ahead cum case
GM,Germany,quantile,0.5,432603,2020-10-24,2020-10-12,2 wk ahead cum case
GM,Germany,quantile,0.55,435542,2020-10-24,2020-10-12,2 wk ahead cum case
GM,Germany,quantile,0.6,439142,2020-10-24,2020-10-12,2 wk ahead cum case
GM,Germany,quantile,0.65,442434,2020-10-24,2020-10-12,2 wk ahead cum case
GM,Germany,quantile,0.7,445534,2020-10-24,2020-10-12,2 wk ahead cum case
GM,Germany,quantile,0.75,448990,2020-10-24,2020-10-12,2 wk ahead cum case
GM,Germany,quantile,0.8,452790,2020-10-24,2020-10-12,2 wk ahead cum case
GM,Germany,quantile,0.85,456313,2020-10-24,2020-10-12,2 wk ahead cum case
GM,Germany,quantile,0.9,460193,2020-10-24,2020-10-12,2 wk ahead cum case
GM,Germany,quantile,0.95,464517,2020-10-24,2020-10-12,2 wk ahead cum case
GM,Germany,quantile,0.975,467413,2020-10-24,2020-10-12,2 wk ahead cum case
GM,Germany,quantile,0.99,468848,2020-10-24,2020-10-12,2 wk ahead cum case
GM,Germany,point,,432603,2020-10-24,2020-10-12,2 wk ahead cum case
GM,Germany,quantile,0.01,498527,2020-10-31,2020-10-12,3 wk ahead cum case
GM,Germany,quantile,0.025,500152,2020-10-31,2020-10-12,3 wk ahead cum case
GM,Germany,quantile,0.05,503168,2020-10-31,2020-10-12,3 wk ahead cum case
GM,Germany,quantile,0.1,508703,2020-10-31,2020-10-12,3 wk ahead cum case
GM,Germany,quantile,0.15,514069,2020-10-31,2020-10-12,3 wk ahead cum case
GM,Germany,quantile,0.2,520719,2020-10-31,2020-10-12,3 wk ahead cum case
GM,Germany,quantile,0.25,527538,2020-10-31,2020-10-12,3 wk ahead cum case
GM,Germany,quantile,0.3,534492,2020-10-31,2020-10-12,3 wk ahead cum case
GM,Germany,quantile,0.35,541321,2020-10-31,2020-10-12,3 wk ahead cum case
GM,Germany,quantile,0.4,548764,2020-10-31,2020-10-12,3 wk ahead cum case
GM,Germany,quantile,0.45,556292,2020-10-31,2020-10-12,3 wk ahead cum case
GM,Germany,quantile,0.5,565277,2020-10-31,2020-10-12,3 wk ahead cum case
GM,Germany,quantile,0.55,575682,2020-10-31,2020-10-12,3 wk ahead cum case
GM,Germany,quantile,0.6,586983,2020-10-31,2020-10-12,3 wk ahead cum case
GM,Germany,quantile,0.65,597716,2020-10-31,2020-10-12,3 wk ahead cum case
GM,Germany,quantile,0.7,607634,2020-10-31,2020-10-12,3 wk ahead cum case
GM,Germany,quantile,0.75,620763,2020-10-31,2020-10-12,3 wk ahead cum case
GM,Germany,quantile,0.8,633290,2020-10-31,2020-10-12,3 wk ahead cum case
GM,Germany,quantile,0.85,646901,2020-10-31,2020-10-12,3 wk ahead cum case
GM,Germany,quantile,0.9,666658,2020-10-31,2020-10-12,3 wk ahead cum case
GM,Germany,quantile,0.95,683965,2020-10-31,2020-10-12,3 wk ahead cum case
GM,Germany,quantile,0.975,694511,2020-10-31,2020-10-12,3 wk ahead cum case
GM,Germany,quantile,0.99,700499,2020-10-31,2020-10-12,3 wk ahead cum case
GM,Germany,point,,565277,2020-10-31,2020-10-12,3 wk ahead cum case
GM,Germany,quantile,0.01,637795,2020-11-07,2020-10-12,4 wk ahead cum case
GM,Germany,quantile,0.025,641507,2020-11-07,2020-10-12,4 wk ahead cum case
GM,Germany,quantile,0.05,648366,2020-11-07,2020-10-12,4 wk ahead cum case
GM,Germany,quantile,0.1,662575,2020-11-07,2020-10-12,4 wk ahead cum case
GM,Germany,quantile,0.15,676861,2020-11-07,2020-10-12,4 wk ahead cum case
GM,Germany,quantile,0.2,694189,2020-11-07,2020-10-12,4 wk ahead cum case
GM,Germany,quantile,0.25,710538,2020-11-07,2020-10-12,4 wk ahead cum case
GM,Germany,quantile,0.3,726587,2020-11-07,2020-10-12,4 wk ahead cum case
GM,Germany,quantile,0.35,744608,2020-11-07,2020-10-12,4 wk ahead cum case
GM,Germany,quantile,0.4,763720,2020-11-07,2020-10-12,4 wk ahead cum case
GM,Germany,quantile,0.45,784964,2020-11-07,2020-10-12,4 wk ahead cum case
GM,Germany,quantile,0.5,812007,2020-11-07,2020-10-12,4 wk ahead cum case
GM,Germany,quantile,0.55,838808,2020-11-07,2020-10-12,4 wk ahead cum case
GM,Germany,quantile,0.6,868938,2020-11-07,2020-10-12,4 wk ahead cum case
GM,Germany,quantile,0.65,898356,2020-11-07,2020-10-12,4 wk ahead cum case
GM,Germany,quantile,0.7,926904,2020-11-07,2020-10-12,4 wk ahead cum case
GM,Germany,quantile,0.75,964637,2020-11-07,2020-10-12,4 wk ahead cum case
GM,Germany,quantile,0.8,1009877,2020-11-07,2020-10-12,4 wk ahead cum case
GM,Germany,quantile,0.85,1057353,2020-11-07,2020-10-12,4 wk ahead cum case
GM,Germany,quantile,0.9,1109929,2020-11-07,2020-10-12,4 wk ahead cum case
GM,Germany,quantile,0.95,1171531,2020-11-07,2020-10-12,4 wk ahead cum case
GM,Germany,quantile,0.975,1202132,2020-11-07,2020-10-12,4 wk ahead cum case
GM,Germany,quantile,0.99,1225427,2020-11-07,2020-10-12,4 wk ahead cum case
GM,Germany,point,,812007,2020-11-07,2020-10-12,4 wk ahead cum case
