location,location_name,type,quantile,value,target_end_date,forecast_date,target
PL,Poland,quantile,0.01,37152,2020-10-17,2020-10-12,1 wk ahead inc case
PL,Poland,quantile,0.025,37358,2020-10-17,2020-10-12,1 wk ahead inc case
PL,Poland,quantile,0.05,37753,2020-10-17,2020-10-12,1 wk ahead inc case
PL,Poland,quantile,0.1,38288,2020-10-17,2020-10-12,1 wk ahead inc case
PL,Poland,quantile,0.15,39155,2020-10-17,2020-10-12,1 wk ahead inc case
PL,Poland,quantile,0.2,39705,2020-10-17,2020-10-12,1 wk ahead inc case
PL,Poland,quantile,0.25,40393,2020-10-17,2020-10-12,1 wk ahead inc case
PL,Poland,quantile,0.3,40929,2020-10-17,2020-10-12,1 wk ahead inc case
PL,Poland,quantile,0.35,41538,2020-10-17,2020-10-12,1 wk ahead inc case
PL,Poland,quantile,0.4,42128,2020-10-17,2020-10-12,1 wk ahead inc case
PL,Poland,quantile,0.45,42983,2020-10-17,2020-10-12,1 wk ahead inc case
PL,Poland,quantile,0.5,43564,2020-10-17,2020-10-12,1 wk ahead inc case
PL,Poland,quantile,0.55,44153,2020-10-17,2020-10-12,1 wk ahead inc case
PL,Poland,quantile,0.6,44876,2020-10-17,2020-10-12,1 wk ahead inc case
PL,Poland,quantile,0.65,45688,2020-10-17,2020-10-12,1 wk ahead inc case
PL,Poland,quantile,0.7,46408,2020-10-17,2020-10-12,1 wk ahead inc case
PL,Poland,quantile,0.75,47204,2020-10-17,2020-10-12,1 wk ahead inc case
PL,Poland,quantile,0.8,48092,2020-10-17,2020-10-12,1 wk ahead inc case
PL,Poland,quantile,0.85,49087,2020-10-17,2020-10-12,1 wk ahead inc case
PL,Poland,quantile,0.9,50012,2020-10-17,2020-10-12,1 wk ahead inc case
PL,Poland,quantile,0.95,50827,2020-10-17,2020-10-12,1 wk ahead inc case
PL,Poland,quantile,0.975,51234,2020-10-17,2020-10-12,1 wk ahead inc case
PL,Poland,quantile,0.99,51552,2020-10-17,2020-10-12,1 wk ahead inc case
PL,Poland,point,,43564,2020-10-17,2020-10-12,1 wk ahead inc case
PL,Poland,quantile,0.01,61607,2020-10-24,2020-10-12,2 wk ahead inc case
PL,Poland,quantile,0.025,62123,2020-10-24,2020-10-12,2 wk ahead inc case
PL,Poland,quantile,0.05,63551,2020-10-24,2020-10-12,2 wk ahead inc case
PL,Poland,quantile,0.1,66090,2020-10-24,2020-10-12,2 wk ahead inc case
PL,Poland,quantile,0.15,68836,2020-10-24,2020-10-12,2 wk ahead inc case
PL,Poland,quantile,0.2,71174,2020-10-24,2020-10-12,2 wk ahead inc case
PL,Poland,quantile,0.25,73545,2020-10-24,2020-10-12,2 wk ahead inc case
PL,Poland,quantile,0.3,75976,2020-10-24,2020-10-12,2 wk ahead inc case
PL,Poland,quantile,0.35,79175,2020-10-24,2020-10-12,2 wk ahead inc case
PL,Poland,quantile,0.4,82220,2020-10-24,2020-10-12,2 wk ahead inc case
PL,Poland,quantile,0.45,84911,2020-10-24,2020-10-12,2 wk ahead inc case
PL,Poland,quantile,0.5,87964,2020-10-24,2020-10-12,2 wk ahead inc case
PL,Poland,quantile,0.55,92062,2020-10-24,2020-10-12,2 wk ahead inc case
PL,Poland,quantile,0.6,96373,2020-10-24,2020-10-12,2 wk ahead inc case
PL,Poland,quantile,0.65,99853,2020-10-24,2020-10-12,2 wk ahead inc case
PL,Poland,quantile,0.7,104855,2020-10-24,2020-10-12,2 wk ahead inc case
PL,Poland,quantile,0.75,108316,2020-10-24,2020-10-12,2 wk ahead inc case
PL,Poland,quantile,0.8,112108,2020-10-24,2020-10-12,2 wk ahead inc case
PL,Poland,quantile,0.85,117328,2020-10-24,2020-10-12,2 wk ahead inc case
PL,Poland,quantile,0.9,122211,2020-10-24,2020-10-12,2 wk ahead inc case
PL,Poland,quantile,0.95,127038,2020-10-24,2020-10-12,2 wk ahead inc case
PL,Poland,quantile,0.975,129855,2020-10-24,2020-10-12,2 wk ahead inc case
PL,Poland,quantile,0.99,131177,2020-10-24,2020-10-12,2 wk ahead inc case
PL,Poland,point,,87964,2020-10-24,2020-10-12,2 wk ahead inc case
PL,Poland,quantile,0.01,99070,2020-10-31,2020-10-12,3 wk ahead inc case
PL,Poland,quantile,0.025,101000,2020-10-31,2020-10-12,3 wk ahead inc case
PL,Poland,quantile,0.05,104675,2020-10-31,2020-10-12,3 wk ahead inc case
PL,Poland,quantile,0.1,111018,2020-10-31,2020-10-12,3 wk ahead inc case
PL,Poland,quantile,0.15,118189,2020-10-31,2020-10-12,3 wk ahead inc case
PL,Poland,quantile,0.2,125232,2020-10-31,2020-10-12,3 wk ahead inc case
PL,Poland,quantile,0.25,133620,2020-10-31,2020-10-12,3 wk ahead inc case
PL,Poland,quantile,0.3,140699,2020-10-31,2020-10-12,3 wk ahead inc case
PL,Poland,quantile,0.35,149290,2020-10-31,2020-10-12,3 wk ahead inc case
PL,Poland,quantile,0.4,158873,2020-10-31,2020-10-12,3 wk ahead inc case
PL,Poland,quantile,0.45,168921,2020-10-31,2020-10-12,3 wk ahead inc case
PL,Poland,quantile,0.5,180775,2020-10-31,2020-10-12,3 wk ahead inc case
PL,Poland,quantile,0.55,192628,2020-10-31,2020-10-12,3 wk ahead inc case
PL,Poland,quantile,0.6,204352,2020-10-31,2020-10-12,3 wk ahead inc case
PL,Poland,quantile,0.65,218668,2020-10-31,2020-10-12,3 wk ahead inc case
PL,Poland,quantile,0.7,235490,2020-10-31,2020-10-12,3 wk ahead inc case
PL,Poland,quantile,0.75,250037,2020-10-31,2020-10-12,3 wk ahead inc case
PL,Poland,quantile,0.8,265687,2020-10-31,2020-10-12,3 wk ahead inc case
PL,Poland,quantile,0.85,284862,2020-10-31,2020-10-12,3 wk ahead inc case
PL,Poland,quantile,0.9,308567,2020-10-31,2020-10-12,3 wk ahead inc case
PL,Poland,quantile,0.95,329920,2020-10-31,2020-10-12,3 wk ahead inc case
PL,Poland,quantile,0.975,342775,2020-10-31,2020-10-12,3 wk ahead inc case
PL,Poland,quantile,0.99,350326,2020-10-31,2020-10-12,3 wk ahead inc case
PL,Poland,point,,180775,2020-10-31,2020-10-12,3 wk ahead inc case
PL,Poland,quantile,0.01,156368,2020-11-07,2020-10-12,4 wk ahead inc case
PL,Poland,quantile,0.025,160997,2020-11-07,2020-10-12,4 wk ahead inc case
PL,Poland,quantile,0.05,167316,2020-11-07,2020-10-12,4 wk ahead inc case
PL,Poland,quantile,0.1,189348,2020-11-07,2020-10-12,4 wk ahead inc case
PL,Poland,quantile,0.15,205479,2020-11-07,2020-10-12,4 wk ahead inc case
PL,Poland,quantile,0.2,222784,2020-11-07,2020-10-12,4 wk ahead inc case
PL,Poland,quantile,0.25,239516,2020-11-07,2020-10-12,4 wk ahead inc case
PL,Poland,quantile,0.3,260495,2020-11-07,2020-10-12,4 wk ahead inc case
PL,Poland,quantile,0.35,281270,2020-11-07,2020-10-12,4 wk ahead inc case
PL,Poland,quantile,0.4,306100,2020-11-07,2020-10-12,4 wk ahead inc case
PL,Poland,quantile,0.45,334951,2020-11-07,2020-10-12,4 wk ahead inc case
PL,Poland,quantile,0.5,373780,2020-11-07,2020-10-12,4 wk ahead inc case
PL,Poland,quantile,0.55,406591,2020-11-07,2020-10-12,4 wk ahead inc case
PL,Poland,quantile,0.6,452868,2020-11-07,2020-10-12,4 wk ahead inc case
PL,Poland,quantile,0.65,494466,2020-11-07,2020-10-12,4 wk ahead inc case
PL,Poland,quantile,0.7,539225,2020-11-07,2020-10-12,4 wk ahead inc case
PL,Poland,quantile,0.75,582334,2020-11-07,2020-10-12,4 wk ahead inc case
PL,Poland,quantile,0.8,640648,2020-11-07,2020-10-12,4 wk ahead inc case
PL,Poland,quantile,0.85,702857,2020-11-07,2020-10-12,4 wk ahead inc case
PL,Poland,quantile,0.9,774365,2020-11-07,2020-10-12,4 wk ahead inc case
PL,Poland,quantile,0.95,861112,2020-11-07,2020-10-12,4 wk ahead inc case
